"Gene Name"	"Ensembl"	"GeneCards"
YDR178W		
G-11845		
AT4G09020		
AT3G03100		
G3O-34275		
G-17887		
YBR243C		
G-12274		
AT3G46970		
G-58147		
G3O-33632		
G-271		
VC1457		
G-9034		
AT3G14420		
AT5G58560		
G3O-32795		
G-12713		
SYNPCC7942_2331		
G-10353		
AT2G44490		
G-34630		
G3O-31510		
G-14792		
SYNPCC7942_1984		
G-9653		
AT2G31830		
G-43939		
G3O-30538		
G185E-8121		
SYNPCC7942_1346		
G-10852		
AT1G72040		
G-15207		
G3O-29283		
G-11309		
SYNPCC7942_1175		
G-44319		
AT1G49710		
G-15978		
G18NG-10193		
HS03488	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000111962'>ENSG00000111962</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UST'>UST</a>"
SYNPCC7942_0656		
G-44733		
AT1G12140		
HS08136	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000156515'>ENSG00000156515</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HK1'>HK1</a>"
G185E-6483		
G-11824		
SYNPCC7942_0333		
AT2G46370		
G185E-4787		
G-17870		
SCO6275		
G-12258		
G-61		
G-58125		
SCO5072		
G-256		
G-15267		
YPR026W		
RHA1_RO10126		
G-9013		
EG11436		
AT5G52570		
MGI:96090		
G-12689		
YPL117C		
G-10337		
BSU39760		
G-34614		
MGI:1328365		
G-14769		
YOR103C		
G-9628		
BSU38160		
G-43922		
HS16618	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000176261'>ENSG00000176261</a>"	
G185E-8086		
YNL241C		
G-10822		
BSU35660		
G-15192		
HS15363		
G-11269		
YMR202W		
G-44301		
BSU30630		
G-15962		
HS13920	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000142192'>ENSG00000142192</a>"	
HS03334	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000110721'>ENSG00000110721</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CHK'>CHK</a>"
YLR420W		
G-44717		
BSU19460		
HS07852	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000152782'>ENSG00000152782</a>"	
HS13286	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000128965'>ENSG00000128965</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGC4504'>MGC4504</a>"
G-118		
YLR100W		
AT2G41510		
BSU13720		
G-17851		
HS12099	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000043093'>ENSG00000043093</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RP42'>RP42</a>"
G-12240		
YKL141W		
G-5707		
BSU10530		
G-2484		
HP0779		
YNL037C		
YJL002C		
G-8986		
AT5G59440		
AT5G48010		
HP0100		
G-12669		
YHR204W		
G-10321		
AT5G36700		
G-34589		
GIO2-1211		
G-14751		
YGL205W		
G-9598		
AT5G07990		
G-43905		
G7187		
G185E-7820		
YEL021W		
G-10806		
AT4G22880		
G-15172		
G66-31756	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000448438'>ENST00000448438</a>" // "<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000329600'>ENST00000329600</a>"	
G-11249		
YDL232W		
G-44285		
AT4G00400		
G-15943		
G3O-34143		
HS03112	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000108479'>ENSG00000108479</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK1'>GALK1</a>"
YBR176W		
G-44700		
AT3G29320		
HS07681	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000150656'>ENSG00000150656</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CPGL2'>CPGL2</a>"
G3O-33520		
G-11781		
VC0775		
AT2G35370		
AT3G07800		
G-17834		
G3O-32618		
G-12224		
SYNPCC7942_2315		
G-55303		
AT2G43090		
G-2402		
G3O-31320		
YML004C		
SYNPCC7942_1977		
G-8826		
AT2G23000		
AT5G41480		
G3O-30192		
G-12653		
SYNPCC7942_1343		
G-10294		
AT1G67070		
G-34567		
G3O-29157		
G-14733		
SYNPCC7942_1055		
G-9573		
AT1G44350		
G-43889		
G185E-8152		
G185E-7653		
SYNPCC7942_0609		
G-10784		
AT1G02930		
G-15156		
G185E-6303		
G-11230		
SYNPCC7942_0327		
G-44268		
G185E-4280		
G-15922		
SCO6267		
HS02896	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000106348'>ENSG00000106348</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPDH1'>IMPDH1</a>"
G-3981		
G-44684		
SCO2782		
HS07505	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000148288'>ENSG00000148288</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FS'>FS</a>"
G-15258		
G-11754		
RHA1_RO08164		
AT2G30490		
EG11309		
G-17818		
MGI:2444678		
G-12204		
YPL028W		
G-55187		
BSU39730		
G-231		
MGI:1278330		
YKL001C		
YOR054C		
G-865		
BSU37670		
AT5G34850		
HS16231		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ22728'>FLJ22728</a>"
G-12634		
YNL117W		
G-10274		
BSU35580		
G-34551		
HS14995	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000162971'>ENSG00000162971</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FLJ37953'>FLJ37953</a>"
G-14699		
YMR101C		
G-9553		
BSU30190		
G-43872		
HS13873	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000141349'>ENSG00000141349</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC92579'>LOC92579</a>"
G185E-7206		
YLR308W		
G-10763		
BSU15560		
G-15139		
HS13177	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000125779'>ENSG00000125779</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PANK2'>PANK2</a>"
G-11206		
YLR038C		
G-44252		
BSU13580		
G-15551		
HS11970		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A4'>UGT1A4</a>"
HS02640		
YKL055C		
G-44668		
BSU10120		
HS07322	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000146085'>ENSG00000146085</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MUT'>MUT</a>"
HP0558		
G-11732		
YIR032C		
AT2G26710		
AT5G53850		
G-17800		
HP0089		
G-12189		
YHR051W		
G-55169		
AT5G25900		
G-227		
GCQD-622		
YGR202C		
YGL156W		
G-839		
AT4G39120		
AT5G23190		
G6989		
G-12610		
YDR454C		
G-10252		
AT4G19810		
G-34535		
G66-31234	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000241935'>ENSG00000241935</a>" // "<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000488438'>ENST00000488438</a>" // "<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENST00000370646'>ENST00000370646</a>"	
G-14671		
YDL131W		
G-9535		
AT3G57610		
G-43856		
G3O-34098		
G185E-6365		
YBR110W		
G-10744		
AT3G25830		
G-15119		
G3O-33202		
G-11183		
VC0772		
G-44231		
AT3G06060		
G-15531		
G3O-32216		
HS02424		
SYNPCC7942_2156		
G-44646		
AT2G39930		
HS07123	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000143882'>ENSG00000143882</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1C2'>ATP6V1C2</a>"
G3O-31243		
G-11714		
SYNPCC7942_1743		
AT2G21940		
AT2G21790		
G-17782		
G3O-29993		
G-12172		
SYNPCC7942_1249		
G-55149		
AT1G65930		
G-221		
G3O-29093		
YFL030W		
SYNPCC7942_1052		
G-815		
AT1G34120		
AT5G16570		
G185E-7795		
G-12591		
SYNPCC7942_0535		
G-10235		
AT1G01120		
G-34518		
G185E-6032		
G-14651		
SYNPCC7942_0308		
G-9516		
G12WB-500		
G-43840		
SCO5092		
G185E-5517		
G-3401		
G-10727		
RHA1_RO10212		
G-15092		
G-11810		
G-11167		
RHA1_RO08161		
G-44214		
EG11283		
G-15514		
EG10714		
HS02123		
G-44630		
HS06936	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000142544'>ENSG00000142544</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC90353'>LOC90353</a>"
G-11676		
AT2G14750		
G-17762		
G-12153		
G-55131		
HS01816	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000095321'>ENSG00000095321</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CRAT'>CRAT</a>"
G-209		
G-44604		
YDR127W		
HS06627	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000139531'>ENSG00000139531</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUOX'>SUOX</a>"
G-7864		
G-11630		
AT5G12200		
G-17730		
G-12564		
G-12118		
G-10213		
G-55104		
G-34501		
G-20		
G-14630		
AT1G79010		
G-9489		
VS1		
G-43821		
G-7061		
G185E-5248		
AT5G04590		
G-10704		
G-12538		
G-15076		
G-34475		
G-11149		
G-14600		
G-44198		
G-9452		
G-15495		
G-43791		
HS01985		
G-9975		
G-44612		
G-10666		
HS06728	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000140505'>ENSG00000140505</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2'>CYP1A2</a>"
G-15050		
G-11641		
G-11121		
G-17743		
G-44172		
G-12131		
G-15469		
G-55113		
HS01560		
G-201		
G-44587		
AT1G80380		
HS06458	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000138109'>ENSG00000138109</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9'>CYP2C9</a>"
YBR036C		
G-11591		
G-7147		
G-17712		
AT5G05980		
G-12095		
G-12547		
G-55078		
G-10191		
G-191		
G-34484		
AT1G76090		
G-14615		
SCO5081		
G-12544		
G-6721		
G-10188		
AT4G36220		
G-34481		
G-12518		
G-14612		
G-333		
G-9458		
G-14584		
G-43797		
G-9436		
G-9982		
G-43774		
G-10673		
G-10164		
G-15056		
G-9955		
G-11128		
G-10647		
G-44179		
G-15035		
G-15476		
G-44156		
HS01673	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000090054'>ENSG00000090054</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC1'>SPTLC1</a>"
G-15451		
G-44593		
HS01335	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000079739'>ENSG00000079739</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PGM1'>PGM1</a>"
HS06490	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000138363'>ENSG00000138363</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATIC'>ATIC</a>"
G-44570		
G-11598		
G-11108		
G-17718		
HS06258	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000136960'>ENSG00000136960</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP2'>ENPP2</a>"
G-12100		
G-11574		
G-55089		
G-17696		
G-1941		
G-12078		
AT1G78380		
G-55060		
SYNPCC7942_0225		
G-183		
G-681		
AT1G69500		
AT4G37390		
HS15407		
G-12526		
G-6562		
G-338		
AT4G32810		
G-14591		
G-12497		
G-9442		
G-3264		
G-43781		
G-14553		
G-10170		
G-9411		
G-9961		
G-43758		
G-10656		
G-10148		
G-15040		
G-9938		
G-44162		
G-10619		
G-15458		
G-15018		
HS01416	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000082196'>ENSG00000082196</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=AMACR'>AMACR</a>"
G-44140		
G-44576		
G-15435		
HS06393	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000137767'>ENSG00000137767</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SQRDL'>SQRDL</a>"
HS01113		
G-11581		
G-44552		
G-17702		
G-11088		
G-12084		
HS06011	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135454'>ENSG00000135454</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GALGT'>GALGT</a>"
G-55068		
G-11558		
G-1841		
G-17679		
AT1G72970		
G-55043		
JGI-834247		
G-18079		
G-664		
AT1G65880		
AT4G34350		
HS11411		
G-12504		
G-632		
G-3282		
G-12065		
G-14567		
AT4G27030		
G-9420		
G-12476		
G-43764		
G-318		
G-10154		
G-9372		
G-9945		
G-43742		
G-10629		
G-10131		
G-15023		
G-9921		
G-44146		
G-106		
G-15441		
G-15002		
HS01211	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000076555'>ENSG00000076555</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACB'>ACACB</a>"
G-44124		
G-44560		
G-15420		
G-11099		
HS00935	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000068366'>ENSG00000068366</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FACL4'>FACL4</a>"
HS06069	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000135828'>ENSG00000135828</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEL'>RNASEL</a>"
G-44536		
G-11564		
G-11060		
G-17686		
HS05785	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000133742'>ENSG00000133742</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CA1'>CA1</a>"
G-55049		
G-11541		
G-18085		
G-17664		
AT1G67740		
G-55025		
HS11585	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000181192'>ENSG00000181192</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1630'>KIAA1630</a>"
G-18063		
G-637		
AT1G58300		
G-12071		
HS10987	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000175931'>ENSG00000175931</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=E2-230K'>E2-230K</a>"
AT4G29460		
G-6025		
G-12485		
G-12049		
G-320		
AT4G21200		
G-14531		
G-12459		
G-9390		
G-308		
G-43748		
G-9319		
G-10138		
G-43724		
G-9927		
G-10110		
G-10607		
G-9901		
G-15008		
G-14506		
G-44130		
G-10579		
G-15426		
G-14986		
HS01001	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000070614'>ENSG00000070614</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=NDST1'>NDST1</a>"
G-44108		
G-44542		
HS00703		
G-11072		
G-44516		
HS05902	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000134716'>ENSG00000134716</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2J2'>CYP2J2</a>"
G-11036		
G-11548		
HS05573		
G-1767		
G-15409		
G-55033		
G-11519		
G-18069		
G-1765		
AT1G61120		
G-55009		
HS11091		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A2'>SULT1A2</a>"
G-18047		
G-6064		
AT1G49140		
G-12055		
HS10697	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000173599'>ENSG00000173599</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PC'>PC</a>"
AT4G24620		
G-58298		
G-12465		
G-12029		
G-3121		
AT4G15510		
G-9342		
G-12434		
G-43731		
G-2987		
G-10118		
G-9298		
G-9909		
G-43706		
G-14512		
G-10093		
G-10586		
G-9876		
G-14992		
G-14484		
G-44114		
G-10554		
HS00832	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000065154'>ENSG00000065154</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT'>OAT</a>"
G-14967		
G-44522		
G-44092		
G-11046		
HS00565	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000042832'>ENSG00000042832</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TG'>TG</a>"
HS05626		
G-44491		
G-11526		
G-11018		
G-17655		
HS05425	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130707'>ENSG00000130707</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ASS'>ASS</a>"
G-55015		
G-15383		
G-18053		
G-115		
AT1G51680		
G-17635		
HS10821	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000174684'>ENSG00000174684</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GNT6'>B3GNT6</a>"
G-54994		
G-5881		
AT1G28130		
G-12037		
HS10487	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000172318'>ENSG00000172318</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT1'>B3GALT1</a>"
AT4G16760		
G-58282		
G-12440		
G-12010		
G-3003		
AT4G08900		
G-9307		
G-18032		
G-43712		
G-12418		
G-10099		
G-295		
G-9892		
G-9247		
G-14491		
G-10077		
G-10563		
G-9852		
G-14976		
G-144		
G-44098		
G-10533		
HS00614	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000049239'>ENSG00000049239</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=H6PD'>H6PD</a>"
G-14951		
G-44498		
G-44074		
G-11026		
HS00371	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000015532'>ENSG00000015532</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=XYLT2'>XYLT2</a>"
HS05465	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000130985'>ENSG00000130985</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE1'>UBE1</a>"
G-44475		
G-15392		
G-11002		
G-11505		
HS05252	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000129187'>ENSG00000129187</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTD'>DCTD</a>"
G-17640		
G-15359		
G-550		
G-11481		
AT1G32060		
G-17619		
HS10576		
G-54978		
G-58288		
AT1G18640		
G-12018		
HS10215	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000170950'>ENSG00000170950</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK2'>PGK2</a>"
AT4G13260		
G-58266		
G-18038		
G-11992		
G-12423		
AT3G62410		
G-2967		
G-18015		
G-9254		
G-12402		
G-43696		
G-280		
G-10083		
G-9215		
G-9861		
G-10060		
G-14464		
G-9821		
G-10542		
G-134		
G-14957		
G-10513		
G-44080		
G-425		
HS00434	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000023909'>ENSG00000023909</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GCLM'>GCLM</a>"
G-14927		
G-44481		
G-44058		
G-11009		
HS00223	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000007933'>ENSG00000007933</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=FMO3'>FMO3</a>"
HS05339		
G-10987		
G-15368		
HS05071		
G-11487		
G-15342		
G-17624		
G-11462		
G-54984		
G-44462		
AT1G20510		
G-1687		
HS10326		
G-54960		
G-58272		
AT1G13560		
G-120		
HS09918	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000169255'>ENSG00000169255</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT3'>B3GALT3</a>"
AT4G01690		
G-58249		
G-18022		
G-11966		
G-12408		
AT3G54050-WS		
G-286		
G-18000		
G-9234		
G-12387		
G-10066		
G-27223		
G-9827		
G-9193		
G-1382		
G-10044		
G-10522		
G-98		
G-431		
G-12831		
G-14941		
G-10493		
G-44064		
G-409		
HS00300		
G-14904		
G-44465		
G-44042		
G-10993		
HS00018		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD2'>GLUD2</a>"
HS05168	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000128268'>ENSG00000128268</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=MGAT3'>MGAT3</a>"
G-10970		
G-15348		
HS04619	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000122971'>ENSG00000122971</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS'>ACADS</a>"
G-11468		
G-15323		
G-1741		
G-11439		
G-54967		
G-44446		
AT1G15550		
G-1625		
HS10013	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000169826'>ENSG00000169826</a>"	
G-530		
G-58255		
AT1G07420		
G-11974		
HS09659	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167910'>ENSG00000167910</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7A1'>CYP7A1</a>"
AT3G56940		
G-11946		
G-18006		
AT3G47520		
G-12393		
G-17985		
G-27229		
G-12371		
G-9205		
G-58236		
G-10050		
G-27209		
G-9811		
G-9170		
G-130		
G-10027		
G-105		
G-9777		
G-415		
G-12804		
G-14912		
G-10471		
G-44048		
G-391		
HS00071	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000001084'>ENSG00000001084</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GCLC'>GCLC</a>"
G-14887		
G-10976		
G-44026		
HS04742		
GIO6-18781		
G-15329		
G-10954		
G-11446		
HS04385	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000120265'>ENSG00000120265</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PCMT1'>PCMT1</a>"
G-44452		
G-15307		
G-166		
G-11422		
G-538		
G-44430		
AT1G08830		
G-16078		
HS09745		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=DTYMK'>DTYMK</a>"
G-5209		
G-11954		
AT1G01290		
AT3G50660		
HS09452	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000166794'>ENSG00000166794</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIB'>PPIB</a>"
G-17992		
G-11929		
G-12377		
AT3G25820		
G-58242		
G-17967		
G-27214		
G-12355		
G-9182		
G-58219		
G-10034		
G-27194		
G-9786		
G-9139		
G-12810		
G-10002		
G-10479		
G-12786		
G-399		
G-10442		
G-14893		
G-38		
G-44032		
G-14871		
GMETA-14681		
G-9764		
G-10960		
G-44010		
HS04513	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000121691'>ENSG00000121691</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT'>CAT</a>"
G66-37895		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=CARNS1'>CARNS1</a>"
G-15313		
G-10935		
G-11428		
G-15292		
G-44436		
G-11401		
G-16084		
G-44415		
G-5241		
G-16059		
AT1G03475		
HS04210		
HS09539	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000167315'>ENSG00000167315</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAA2'>ACAA2</a>"
G-513		
G-11935		
HS09157	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000164904'>ENSG00000164904</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH7A1'>ALDH7A1</a>"
AT3G30775		
G-11913		
G-17973		
AT3G21720		
G-12361		
G-17947		
G-58226		
G-12337		
G-272		
G-58203		
G-9149		
G-27176		
G-10011		
G-9103		
G-12793		
CYC1		
G-10456		
G-12770		
G-383		
G-10421		
G-14877		
G-373		
G-9770		
G-14855		
G-44016		
G-9736		
GDQC-114719		
G-43994		
G-10942		
G3O-33500		
HS04237	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000118600'>ENSG00000118600</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM5'>TMEM5</a>"
G-10917		
G-15298		
G-15271		
G-11408		
G-11385		
G-44420		
G-44400		
G-16066		
G-16036		
G-5162		
HS04068	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000116906'>ENSG00000116906</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPAT'>GNPAT</a>"
HS09275		
G-499		
G-11919		
HS08877	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000163541'>ENSG00000163541</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG1'>SUCLG1</a>"
AT3G22890		
G-11892		
G-17953		
AT3G16400		
G-12345		
G-17926		
G-58209		
G-12316		
G-27183		
G-58187		
G-9118		
G-27160		
EAH		
G-9088		
G-12776		
ATMG01120		
G-10432		
G-12752		
G-3769		
G-10398		
G-14861		
G-362		
G-9742		
G-14837		
G-44000		
G-9713		
G3O-60		
G-43978		
G-10925		
G3O-32293		
G-15281		
G-10897		
G-11391		
G-15251		
G-44406		
G-11369		
G-16044		
G-44381		
HS04116	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000117305'>ENSG00000117305</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCL'>HMGCL</a>"
G-16016		
G-504		
HS03935		
HS08983		"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH1B'>ADH1B</a>"
G-481		
G-119		
HS08589	"<a href='http://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000161533'>ENSG00000161533</a>"	"<a href='http://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOX1'>ACOX1</a>"
AT3G18030		
G-11870		
G-17932		
AT3G11750		
G-12322		
G-17910		
G-58193		
G-12298		
G-27166		
G-58170		
G-9094		
G-27140		
BBSE		
G-9061		
G-12760		
ATCG00020		
G-10404		
G-12736		
G-367		
G-10381		
G-14843		
G-349		
G-9719		
G-14821		
G-43984		
G-9688		
G3O-32708		
G-43962		
G-10903		
G3O-14		
G-15257		
G-10881		
G-11375		
G-15232		
G-44388		
G-11339		
G-16024		
G-44365		
HS03979		
G-16001		
G-489		
HS03763		
