"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Ensembl"	"GeneCards"
YEL021W	"YEL021W"	116167	116970	YEL021W-MONOMER		
AT2G04350	"AT2G04350"	1515802	1519305	AT2G04350-MONOMER		
G3O-32893	"YMR210W"	687516	688865	G3O-32893-MONOMER		
YDL052C	"YDL052C"	362672	363583	YDL052C-MONOMER		
AT1G62560		23163488	23166314	AT1G62560-MONOMER		
G3O-31576	"YJL125C"	185528	186679	G3O-31576-MONOMER		
YAL062W		31568	32941	YAL062W-MONOMER		
AT1G20575		7126762	7128735	AT1G20575-MONOMER		
G3O-30162	"YEL041W"	75944	77431	G3O-30162-MONOMER		
SYNPCC7942_2478		2559500	2559874	SYNPCC7942_2478-MONOMER		
G3O-28923	"YBL020W"	182401	184125	G3O-28923-MONOMER		
SYNPCC7942_2049		2123745	2126036	SYNPCC7942_2049-MONOMER		
G185E-7345	"Rv3083"	3448504	3449991	G185E-7345-MONOMER		
SYNPCC7942_1415		1466530	1468095	SYNPCC7942_1415-MONOMER		
G185E-4788	RV0645C	739325	740185	G185E-4788-MONOMER		
SYNPCC7942_1177		1209715	1209966	SYNPCC7942_1177-MONOMER		
G-61				MONOMER-872		
SYNPCC7942_0697		689222	690748	SYNPCC7942_0697-MONOMER		
G-15266	"NE2042"			MONOMER-17537		
SYNPCC7942_0335		330289	330831	SYNPCC7942_0335-MONOMER		
EG11195	"b3697"	3876140	3876952	EG11195-MONOMER		
SI859A1_02124	"SI859A1_02124"	2444382	2454275	SI859A1_02124-MONOMER		
BSU38860		3989948	3990967	BSU38860-MONOMER		
SCO5073		5515243	5516232	SCO5073-MONOMER		
BSU35730		3678399	3680420	BSU35730-MONOMER		
RHA1_RO10133		122971	124341	RHA1_RO10133-MONOMER		
BSU34120	"BSU34120"	3501651	3502940	BSU34120-MONOMER		
Q0045		13818	26701	Q0045-MONOMER		
BSU22470		2358208	2358918	BSU22470-MONOMER		
MGI:1914353		58978311	58999991	MGI:1914353-MONOMER		
BSU13740		1440542	1441273	BSU13740-MONOMER		
BSU10550		1128286	1129611	BSU10550-MONOMER		
YPL214C	"YPL214C"	148569	150191	YPL214C-MONOMER		
AT5G63400	"AT5G63400"	25410227	25412133	AT5G63400-MONOMER		
YOR067C	YOR067C	451729	453462	YOR067C-MONOMER		
AT5G38710	"AT5G38710"	15518475	15521339	AT5G38710-MONOMER		
YNL052W		531725	532186	YNL052W-MONOMER		
AT5G03650		931937	937640	AT5G03650-MONOMER		
HS11959				HS11959-MONOMER		
YML106W	"YML106W"	56773	57453	YML106W-MONOMER		
AT4G16700	"AT4G16700"	9395658	9398330	MONOMER-20226 // MONOMER-20227 // AT4G16700-MONOMER		
HP0197		203618	204775	HP0197-MONOMER		
YLR153C		445524	447575	YLR153C-MONOMER		
AT3G55120				AT3G55120-MONOMER		
GCQD-1679	"ECB_01481"	1579368	1580294	GLUTAMINB-MONOMER		
YKL029C		382716	384725	YKL029C-MONOMER		
AT3G23580	"AT3G23580"	8460052	8462822	AT3G23580-MONOMER		
YIL124W	"YIL124W"	126204	127097	YIL124W-MONOMER		
AT3G02570		543353	545602	AT3G02570-MONOMER		
G6425	"b0822"	859213	860028	G6425-MONOMER		
YGL226C-A	"YGL226C-A"	72749	73158	YGL226C-MONOMER		
AT2G38040	"At2g38040"			AT2G38040-MONOMER		
G3O-33724	"YOR226C"	761614	762084	G3O-33724-MONOMER		
YDR315C	"YDR315C"	1092738	1093583	YDR315C-MONOMER		
AT1G76680		28132034	28133323	AT1G76680-MONOMER		
G3O-32795	"YMR095C"	457285	457959	G3O-32795-MONOMER		
YCR048W	"YCR048W"	211929	213761	YCR048W-MONOMER		
AT1G54870		20462673	20464314	AT1G54870-MONOMER		
G3O-31320	"YIL049W"	260158	260919	G3O-31320-MONOMER		
VC1579		1688481	1690151	MONOMER-15206 // VC1579-MONOMER		
AT1G06490		1978761	1989045	AT1G06490-MONOMER		
G3O-29711	"YDR109C"	673520	675667	G3O-29711-MONOMER		
SYNPCC7942_2332		2399369	2399851	SYNPCC7942_2332-MONOMER		
G3O-10		96858	97796	MONOMER3O-37		
SYNPCC7942_2010		2079493	2080140	SYNPCC7942_2010-MONOMER		
G185E-6483	"Rv2266"	2540102	2541388	G185E-6483-MONOMER		
SYNPCC7942_1345		1378990	1379595	SYNPCC7942_1345-MONOMER		
G185E-4635	"RV0503c"	593869	594777	G185E-4635-MONOMER		
SYNPCC7942_1174		1209224	1209343	SYNPCC7942_1174-MONOMER		
G-3403				COEBETACLTH-MONOMER		
SYNPCC7942_0655		650232	651290	SYNPCC7942_0655-MONOMER		
G-12149				MONOMER-15824		
SYNPCC7942_0332		328854	329099	SYNPCC7942_0332-MONOMER		
EG10412	"b3500"	3646299	3647651	GLUTATHIONE-REDUCT-NADPH-MONOMER		
SCO6274	SCO6274	6907413	6918143	SCO6274-MONOMER		
BSU38510		3953783	3954970	BSU38510-MONOMER		
SCO2783	"SCO2783"	3037106	3038347	SCO2783-MONOMER		
BSU35700		3673564	3675147	BSU35700-MONOMER		
RHA1_RO08166		162420	163046	RHA1_RO08166-MONOMER		
BSU30630	"BSU30630"	3134983	3135459	BSU30630-MONOMER		
MGI:98325		112702874	112706901	MGI:98325-MONOMER		
BSU18150	"BSU18150"	1942714	1943982	BSU18150-MONOMER		
MGI:1353434		66605624	66628047	MGI:1353434-MONOMER		
BSU13600		1428275	1428982	BSU13600-MONOMER		
BSU10140		1088197	1089609	BSU10140-MONOMER		
YPL028W		498092	499288	YPL028W-MONOMER		
AT5G57190	"AT5G57190"	23188757	23192590	MONOMER-20230 // MONOMER-20231 // AT5G57190-MONOMER		
YOL140W		58758	60029	YOL140W-MONOMER		
AT5G35360				AT5G35360-MONOMER		
YMR296C	"YMR296C"	859215	860891	YMR296C-MONOMER		
AT4G37930	"AT4G37930"	17831725	17834921	AT4G37930-MONOMER		
AT4G33790		16204159	16207950	AT4G33790-MONOMER		
HS04350				57678-MONOMER		
YML022W	"YML022W"	228937	229500	YML022W-MONOMER		
AT4G13300		7743187	7746359	AT4G13300-MONOMER		
HP0191	"HP0191"	197126	197863	HP0191-MONOMER		
YLR056W		253862	254959	YLR056W-MONOMER		
AT3G51240	"AT3g51240"	18899464	18900713	AT3G51240-MONOMER		
GCEQ-1428	"Synpcc7942_1198"	1225805	1227244	GCEQ-1428-MONOMER		
YJR109C	"YJR109C"	629585	632941	YJR109C-MONOMER		
AT3G19820		6880765	6882546	AT3G19820-MONOMER		
YIL053W	"YIL053W"	255115	255867	YIL053W-MONOMER		
AT2G45790		18862849	18865092	AT2G45790-MONOMER		
G3O-4104	"YBL011W"	203538	205817	MONOMER3O-4105		
YGL187C		149704	150171	YGL187C-MONOMER		
AT2G37040		15575726	15578361	AT2G37040-MONOMER		
G3O-33521	"YOL125W"	83834	85264	G3O-33521-MONOMER		
YDR236C		935232	935888	YDR236C-MONOMER		
AT1G70580		26616295	26619732	AT1G70580-MONOMER		
G3O-32618	"YML014W"	243225	244064	G3O-32618-MONOMER		
YBR263W		736259	737731	YBR263W-MONOMER		
AT1G47510		17438041	17440836	AT1G47510-MONOMER		
G3O-31120	"YHR070W"	234881	236380	G3O-31120-MONOMER		
VC0780		836438	837223	VC0780-MONOMER		
AT1G02880		642752	644903	AT1G02880-MONOMER		
G3O-29494	"YDL085W"	303211	304848	G3O-29494-MONOMER		
SYNPCC7942_2316		2385395	2385808	SYNPCC7942_2316-MONOMER		
G18NG-10184	"Cgl0622"	633076	633474	G18NG-10184-MONOMER		
SYNPCC7942_1976		2045793	2047397	SYNPCC7942_1976-MONOMER		
G185E-6105	"Rv1908c"	2153889	2156111	G185E-6105-MONOMER		
SYNPCC7942_1322		1351613	1351840	SYNPCC7942_1322-MONOMER		
G185E-4192	"Rv0077c"	85636	86466	G185E-4192-MONOMER		
SYNPCC7942_1054		1065228	1066049	SYNPCC7942_1054-MONOMER		
G-3205	"TM1385"			MONOMER-381		
SYNPCC7942_0579		559632	560765	SYNPCC7942_0579-MONOMER		
G-11347				MONOMER-14888		
SYNPCC7942_0326		322388	322873	SYNPCC7942_0326-MONOMER		
CHRECP031		79730	79825	CHRECP031-MONOMER		
SCO6264	"SCO6264"	6889624	6890412	SCO6264-MONOMER		
BSU38290		3930707	3931375	BSU38290-MONOMER		
RHA1_RO10213		205685	206926	RHA1_RO10213-MONOMER		
BSU35670		3665629	3666507	BSU35670-MONOMER		
RHA1_RO08162		159836	161077	RHA1_RO08162-MONOMER		
BSU29590		3026957	3028102	BSU29590-MONOMER		
MGI:3027917		118849530	118853979	MGI:3027917-MONOMER		
BSU15550		1628622	1629341	BSU15550-MONOMER		
MGI:1306785		65804465	65827117	MGI:1306785-MONOMER		
BSU13570		1424767	1425546	BSU13570-MONOMER		
BSU08790		955895	957667	BSU08790-MONOMER		
YOR303W	"YOR303W"	882899	884134	YOR303W-MONOMER		
AT5G52560		21347865	21352037	AT5G52560-MONOMER		
YOL011W	"YOL011W"	305349	307409	YOL011W-MONOMER		
AT5G25620	"AT5G25620.2"	8935112	8938669	AT5G25620-MONOMER		
YMR250W		770800	772557	YMR250W-MONOMER		
AT4G26220	"AT4G26220"	13283585	13285332	AT4G26220-MONOMER		
HP0826	"HP0826"	878363	879184	HP0826-MONOMER		
YLR420W	"YLR420W"	963785	964879	YLR420W-MONOMER		
AT4G09510		6021161	6023870	AT4G09510-MONOMER		
HP0105	"HP0105"	112828	113295	HP0105-MONOMER		
YKR067W	"YKR067W"	567918	570149	MONOMER3O-4095		
AT3G46970		17312379	17317431	AT3G46970-MONOMER		
G7742	"b3399"	3528669	3529337	G7742-MONOMER		
YJL130C	"YJL130C"	165723	172367	YJL130C-MONOMER		
AT3G11980	"AT3G11980"	3814242	3817123	AT3G11980-MONOMER		
YHR072W		239099	241294	YHR072W-MONOMER		
AT2G44050		18231327	18233236	AT2G44050-MONOMER		
G3O-34143		53498	55153	MONOMER3O-81		
YGL022W	"YGL022W"	452404	454560	YGL022W-MONOMER		
AT2G31360	"AT2G31360.1"	13378735	13380683	AT2G31360-MONOMER		
G3O-33353	"YNR046W"	707788	708195	G3O-33353-MONOMER		
YDR072C	"YDR072C"	589756	591339	YDR072C-MONOMER		
AT1G66280		24710175	24713448	AT1G66280-MONOMER		
G3O-32216	"YLR063W"	264157	265254	G3O-32216-MONOMER		
YBR149W	YBR149W	539987	541021	MONOMER-20236 // MONOMER3O-32367 // MONOMER3O-32366		
AT1G36160	"AT1G36160.1"	13535377	13545220	AT1G36160-MONOMER		
G3O-31	"YMR041C"	350966	351973	MONOMER3O-32		
VC0773	"VC0773"	828821	830008	VC0773-MONOMER		
ACIAD0832		819360	820736	ACIAD0832-MONOMER		
G3O-29283	"YCL017C"	92777	94270	G3O-29283-MONOMER		
SYNPCC7942_2234		2300183	2300659	SYNPCC7942_2234-MONOMER		
G185E-8103	"Rv3807c"	4269840	4270337	G185E-8103-MONOMER		
SYNPCC7942_1705		1772946	1773065	SYNPCC7942_1705-MONOMER		
G185E-5505	"Rv1326c"	1490117	1492312	G185E-5505-MONOMER		
SYNPCC7942_1240		1263263	1264801	SYNPCC7942_1240-MONOMER		
G12WB-2408	"CD630_22520"	2608761	2610029	G12WB-2408-MONOMER		
SYNPCC7942_1048		1060891	1061382	SYNPCC7942_1048-MONOMER		
G-15961				MONOMER-17968		
SYNPCC7942_0485		470975	472312	SYNPCC7942_0485-MONOMER		
EG12104	"b2173"	2267829	2268815	EG12104-MONOMER		
SYNPCC7942_0294		290394	291227	SYNPCC7942_0294-MONOMER		
BSU39750		4082030	4082845	BSU39750-MONOMER		
SCO5090	"SCO5090"	5532706	5533656	SCO5090-MONOMER		
BSU38150		3914691	3915305	BSU38150-MONOMER		
RHA1_RO10209		203716	204342	RHA1_RO10209-MONOMER		
BSU35590		3655586	3656755	BSU35590-MONOMER		
RHA1_RO08059		55469	56032	RHA1_RO08059-MONOMER		
BSU28720	"BSU28720"	2938330	2939832	BSU28720-MONOMER		
MGI:2183447		21221141	21271204	MGI:2183447-MONOMER		
BSU15500		1621374	1622660	BSU15500-MONOMER		
MGI:1261415		60561390	60610347	MGI:1261415-MONOMER		
BSU11700		1245808	1246818	BSU11700-MONOMER		
BSU05900		640662	641639	BSU05900-MONOMER		
YOR221C	"YOR221C"	756476	757558	YOR221C-MONOMER		
AT5G48230		19569368	19572755	AT5G48230-MONOMER		
YNR030W	YNR030W	678799	680454	MONOMER3O-256		
AT5G23070	"AT5G23070"	7741906	7742981	AT5G23070-MONOMER		
HS12255		120729293	120832474	HS12255-MONOMER		
YMR207C	"YMR207C"	677193	683564	YMR207C-MONOMER		
AT4G23600	"AT4G23600.1"	12310629	12313222	AT4G23600-MONOMER		
HP0651	"HP0651"	696662	698092	HP0651-MONOMER		
YLR308W		747937	748875	YLR308W-MONOMER		
AT4G02780		1237767	1244813	AT4G02780-MONOMER		
HP0093	"HP0093"	98936	99376	HP0093-MONOMER		
YKL216W		25216	26160	YKL216W-MONOMER		
AT3G29320		11254044	11259051	AT3G29320-MONOMER		
G7247	"b2384"	2504510	2505547	G7247-MONOMER		
YJL002C	"YJL002C"	433221	434651	YJL002C-MONOMER		
AT3G06860		2161875	2166355	AT3G06860-MONOMER		
YHR007C		120084	121676	YHR007C-MONOMER		
AT2G41880	"AT2G41880"	17481697	17484301	AT2G41880-MONOMER		
G3O-34098	"YPL207W"	159909	162341	G3O-34098-MONOMER		
YER069W		295408	297999	YER069W-MONOMER		
AT2G21790	"AT2G21790"	9300435	9304922	AT2G21790-MONOMER		
G3O-33091	"YNL061W"	510540	512396	G3O-33091-MONOMER		
YDL215C	"YDL215C"	70640	73918	YDL215C-MONOMER		
AT1G65860		24502729	24506408	AT1G65860-MONOMER		
G3O-32052	"YKR089C"	605633	608365	G3O-32052-MONOMER		
YBR035C		306269	306955	YBR035C-MONOMER		
AT1G31190		11144753	11146911	AT1G31190-MONOMER		
G3O-30560	"YGL050W"	405776	406597	G3O-30560-MONOMER		
SYNPCC7942_2538		2620274	2620960	SYNPCC7942_2538-MONOMER		
G3O-29150	"YBR213W"	650368	651192	G3O-29150-MONOMER		
SYNPCC7942_2094		2176209	2176610	SYNPCC7942_2094-MONOMER		
G185E-7767	"Rv3490"	3908236	3909738	G185E-7767-MONOMER		
SYNPCC7942_1554		1611260	1611853	SYNPCC7942_1554-MONOMER		
G185E-5327	"Rv1159"	1284992	1286287	G185E-5327-MONOMER		
SYNPCC7942_1198		1225805	1227244	SYNPCC7942_1198-MONOMER		
G-9245				MONOMER-11914		
SYNPCC7942_0978		986415	987626	SYNPCC7942_0978-MONOMER		
G-15275	"NE2064"			MONOMER-3762		
SYNPCC7942_0424		413873	414955	SYNPCC7942_0424-MONOMER		
EG11540	"b1004"	1067112	1067708	PD01343		
SYNPCC7942_0143		145003	145983	SYNPCC7942_0143-MONOMER		
BSU39720		4078173	4079066	BSU39720-MONOMER		
SCO5086	"SCO5086"	5528935	5529720	SCO5086-MONOMER		
BSU37150		3810693	3812300	BSU37150-MONOMER		
RHA1_RO10144		132359	132907	RHA1_RO10144-MONOMER		
BSU35550		3651097	3651855	BSU35550-MONOMER		
RHA1_RO08055	"ABG99102"	52635	53588	RHA1_RO08055-MONOMER		
BSU25300	"BSU25300"	2610927	2611337	BSU25300-MONOMER		
MGI:1929955		116309115	116324285	MGI:1929955-MONOMER		
BSU15120		1578376	1579995	BSU15120-MONOMER		
MGI:108024		20126913	20139215	MGI:108024-MONOMER		
BSU11670		1243735	1244844	BSU11670-MONOMER		
YPR183W	YPR183W	900755	901558	YPR183W-MONOMER		
BSU00140		22496	23149	BSU00140-MONOMER		
YOR171C	"YOR171C"	652009	653883	YOR171C-MONOMER		
AT5G42800				AT5G42800-MONOMER		
YNL241C		196426	197943	YNL241C-MONOMER		
AT5G16390				AT5G16390-MONOMER		
HS12087		6765139	6799191	HS12087-MONOMER		
YMR101C	YMR101C	468445	469476	YMR101C-MONOMER		
YMR008C	"YMR008C"	280590	282584	YMR008C-MONOMER		
AT4G21470		11431116	11433333	AT4G21470-MONOMER		
HP0327		343113	343655	HP0327-MONOMER		
YLR284C		706198	707040	YLR284C-MONOMER		
AT3G63250		23378397	23380651	AT3G63250-MONOMER		
HP0026		26078	27358	HP0026-MONOMER		
YKL148C		169207	171129	YKL148C-MONOMER		
AT3G25830		9448745	9451657	AT3G25830-MONOMER		
G7005	"b1832"	1915631	1916128	G7005-MONOMER		
YIR031C	"YIR031C"	413015	414679	YIR031C-MONOMER		
AT3G04870				AT3G04870-MONOMER		
YGR175C		846928	848418	YGR175C-MONOMER		
AT2G39800		16605242	16610397	AT2G39800-MONOMER		
G3O-34034	"YPL135W"	297553	298050	G3O-34034-MONOMER		
YER015W		184541	186775	YER015W-MONOMER		
AT2G04450				AT2G04450-MONOMER		
G3O-32977	"YMR313C"	899379	901307	G3O-32977-MONOMER		
YDL067C		334217	334396	YDL067C-MONOMER		
AT1G62570		23172801	23175770	AT1G62570-MONOMER		
G3O-31684	"YJR049C"	526884	528476	G3O-31684-MONOMER		
YBL033C		158659	159696	YBL033C-MONOMER		
AT1G22940		8122340	8125057	AT1G22940-MONOMER		
G3O-30192	"YER005W"	160550	162442	G3O-30192-MONOMER		
SYNPCC7942_2525		2606782	2607516	SYNPCC7942_2525-MONOMER		
G3O-28927	"YBL024W"	172534	174588	G3O-28927-MONOMER		
SYNPCC7942_2091		2171430	2173268	SYNPCC7942_2091-MONOMER		
G185E-7559	"Rv3285"	3666353	3668155	G185E-7559-MONOMER		
SYNPCC7942_1439		1492429	1494030	SYNPCC7942_1439-MONOMER		
G185E-5002	"Rv0848"	944938	946056	G185E-5002-MONOMER		
SYNPCC7942_1180		1211703	1212104	SYNPCC7942_1180-MONOMER		
G-62				MONOMER-873		
SYNPCC7942_0699		691619	691726	SYNPCC7942_0699-MONOMER		
G-15267	"NE0960"			MONOMER-17537		
SYNPCC7942_0336		330878	332395	SYNPCC7942_0336-MONOMER		
EG11261	"b0851"	891184	891906	EG11261-MONOMER		
SI859A1_02135	"SI859A1_02135"	2467809	2470166	SI859A1_02135-MONOMER		
BSU39670		4073081	4073953	BSU39670-MONOMER		
SCO5074		5516299	5516943	SCO5074-MONOMER		
BSU35740		3680581	3680970	BSU35740-MONOMER		
RHA1_RO10134		124364	124912	RHA1_RO10134-MONOMER		
BSU34450		3536012	3537433	BSU34450-MONOMER		
Q0250		73758	74513	Q0250-MONOMER		
BSU22780		2384783	2385355	BSU22780-MONOMER		
MGI:1921692		131021903	131047858	MGI:1921692-MONOMER		
BSU14520		1521351	1523084	BSU14520-MONOMER		
BSU10850		1164370	1165398	BSU10850-MONOMER		
YPL227C	YPL227C	120163	121167	YPL227C-MONOMER		
AT5G64300	"AT5G64300"	25735630	25738388	AT5G64300-MONOMER		
YOR085W	"YOR085W"	482033	483085	YOR085W-MONOMER		
AT5G39050		15651815	15653293	AT5G39050-MONOMER		
YNL117W	"YNL117W"	406358	408022	YNL117W-MONOMER		
AT5G07990				AT5G07990-MONOMER		
YML120C		28266	29807	YML120C-MONOMER		
AT4G18550		10224932	10226873	AT4G18550-MONOMER		
HP0287		296953	297471	HP0287-MONOMER		
YLR174W		504591	505829	YLR174W-MONOMER		
AT3G57520		21299742	21304135	AT3G57520-MONOMER		
GCQD-622	"ECB_00436"	483809	484741	GLUTAMINA-MONOMER		
YKL055C	"YKL055C"	335321	336157	YKL055C-MONOMER		
AT3G23920		8641576	8644456	AT3G23920-MONOMER		
G6759	"b1448"	1518328	1518846	G6759-MONOMER		
YIL160C		40191	41444	YIL160C-MONOMER		
AT3G03480		828303	829903	AT3G03480-MONOMER		
G6502	"b0968"	1030064	1030342	G6502-MONOMER		
YGR010W		511539	512726	YGR010W-MONOMER		
AT2G38670		16175915	16178996	AT2G38670-MONOMER		
G3O-33794	"YOR311C"	899056	899928	G3O-33794-MONOMER		
YDR399W	"YDR399W"	1270060	1270725	YDR399W-MONOMER		
AT1G79460		29895285	29899428	AT1G79460-MONOMER		
G3O-32796	"YMR096W"	458408	459301	G3O-32796-MONOMER		
YDL022W	"YDL022W"	411825	413000	YDL022W-MONOMER		
AT1G60980		22456238	22457805	AT1G60980-MONOMER		
G3O-31355	"YIL096C"	182117	183127	G3O-31355-MONOMER		
YAL054C		42881	45022	YAL054C-MONOMER		
AT1G12140		4121367	4123540	AT1G12140-MONOMER		
G3O-29720	"YDR120C"	691549	693261	G3O-29720-MONOMER		
SYNPCC7942_2343		2411023	2411139	SYNPCC7942_2343-MONOMER		
G3O-2	"YFR044C"	239992	241437	MONOMER3O-4		
SYNPCC7942_2016		2084803	2084922	SYNPCC7942_2016-MONOMER		
G185E-6854	"Rv2611c"	2939012	2939962	G185E-6854-MONOMER		
SYNPCC7942_1346		1379614	1379925	SYNPCC7942_1346-MONOMER		
G185E-4694	"Rv0561c"	651529	652755	G185E-4694-MONOMER		
SYNPCC7942_1175		1209424	1209546	SYNPCC7942_1175-MONOMER		
G-3981				MONOMER-5341		
SYNPCC7942_0656		651274	652659	SYNPCC7942_0656-MONOMER		
G-15258	"NE2044"			HAONITRO-MONOMER		
SYNPCC7942_0333		329244	329720	SYNPCC7942_0333-MONOMER		
EG10780	"b1308"	1369689	1370003	EG10780-MONOMER		
SCO6275	SCO6275	6918286	6931959	SCO6275-MONOMER		
BSU38520		3954987	3955223	BSU38520-MONOMER		
SCO2784	"SCO2784"	3038344	3038898	SCO2784-MONOMER		
BSU35710		3675167	3675994	BSU35710-MONOMER		
RHA1_RO08167		163043	164506	RHA1_RO08167-MONOMER		
BSU32330		3320324	3321220	BSU32330-MONOMER		
MTR.40725.1.S1_AT				MTR.40725.1.S1_AT-MONOMER		
BSU19460		2121641	2122306	BSU19460-MONOMER		
MGI:1859310		32059144	32182646	MGI:1859310-MONOMER		
BSU13720		1439448	1440107	BSU13720-MONOMER		
BSU10530		1126400	1127452	BSU10530-MONOMER		
YPL087W	"YPL087W"	383450	384403	YPL087W-MONOMER		
AT5G59440	"AT5G59440"	23988457	23990150	AT5G59440-MONOMER		
HS13887		9875190	9907527	HS13887-MONOMER		
YOL141W		56452	58539	YOL141W-MONOMER		
AT5G36700		14438865	14441720	AT5G36700-MONOMER		
YMR300C		865559	867091	YMR300C-MONOMER		
AT4G39120		18225569	18227922	AT4G39120-MONOMER		
HS11950				HS11950-MONOMER		
AT4G35830		16972602	16978061	AT4G35830-MONOMER		
YML075C		115734	118898	YML075C-MONOMER		
AT4G14430	"At4G14430"	8304596	8305701	AT4G14430-MONOMER		
HP0192	"HP0192"	197856	200000	HP0192-MONOMER		
YLR058C		257993	259402	YLR058C-MONOMER		
AT3G53900	"AT3G53900"	19967634	19970019	AT3G53900-MONOMER		
GCEQ-2175	"Synpcc7942_1944"	2018389	2019417	SYNPCC7942_1944-MONOMER		
YJR117W	"YJR117W"	642001	643362	YJR117W-MONOMER		
AT3G20330		7090112	7092676	AT3G20330-MONOMER		
YIL094C		186514	187629	YIL094C-MONOMER		
AT2G47240	"AT2G47240"	19399628	19404901	AT2G47240-MONOMER		
G6190	"b0325"	342884	343933	G6190-MONOMER		
YGL191W		144808	145197	YGL191W-MONOMER		
AT2G37760		15838932	15840997	AT2G37760-MONOMER		
G3O-33618	"YOR081C"	476939	479188	G3O-33618-MONOMER		
YDR294C	"YDR294C"	1050450	1052219	YDR294C-MONOMER		
AT1G72040	"AT1G72040"	27115556	27118004	AT1G72040-MONOMER		
G3O-32654	"YML059C"	153219	158258	G3O-32654-MONOMER		
YBR265W	"YBR265W"	738540	739502	YBR265W-MONOMER		
AT1G48320		17858481	17859383	AT1G48320-MONOMER		
G3O-31243	"YHR001W-A"	107826	108122	G3O-31243-MONOMER		
VC1456	"VC1456"	1566967	1567341	VC1456-MONOMER		
AT1G02930	"AT1G02930.1"	661177	662427	AT1G02930-MONOMER		
G3O-29519	"YDL120W"	245923	246447	G3O-29519-MONOMER		
SYNPCC7942_2322		2390654	2390944	SYNPCC7942_2322-MONOMER		
G18NG-10193	"Cgl0631"	644026	644781	G18NG-10193-MONOMER		
SYNPCC7942_1977		2047567	2049564	SYNPCC7942_1977-MONOMER		
G185E-6255	"Rv2051c"	2308131	2310755	G185E-6255-MONOMER		
SYNPCC7942_1343		1377217	1378335	SYNPCC7942_1343-MONOMER		
G185E-4244	"Rv0127"	154232	155599	G185E-4244-MONOMER		
SYNPCC7942_1055		1066056	1066679	SYNPCC7942_1055-MONOMER		
G-3401				METHCOCLTH-MONOMER		
SYNPCC7942_0609		596382	597872	SYNPCC7942_0609-MONOMER		
G-11810				MONOMER-15408		
SYNPCC7942_0327		322930	323415	SYNPCC7942_0327-MONOMER		
EG10395	"b3425"	3561497	3561823	EG10395-MONOMER		
SCO6266	"SCO6266"	6891293	6892237	SCO6266-MONOMER		
BSU38300		3931372	3932190	BSU38300-MONOMER		
RHA1_RO10214		206923	207654	RHA1_RO10214-MONOMER		
BSU35680		3667209	3669911	BSU35680-MONOMER		
RHA1_RO08163		161077	161271	RHA1_RO08163-MONOMER		
BSU30190		3089226	3090413	BSU30190-MONOMER		
MGI:94876		11714104	11798047	MGI:94876-MONOMER		
BSU15560		1629320	1629970	BSU15560-MONOMER		
MGI:1316649		116392239	116397988	MGI:1316649-MONOMER		
BSU13580		1425641	1426837	BSU13580-MONOMER		
BSU10120		1086117	1087178	BSU10120-MONOMER		
YOR375C		1041671	1043035	YOR375C-MONOMER		
AT5G53850		21878223	21882199	AT5G53850-MONOMER		
YOL058W		219209	220471	YOL058W-MONOMER		
AT5G25900		8873411	8875616	AT5G25900-MONOMER		
HS12771		110035379	110169493	HS12771-MONOMER		
YMR256C		778945	779127	YMR256C-MONOMER		
AT4G29530	"AT4G29530.1"	14496085	14497460	AT4G29530-MONOMER		
HP1325		1384217	1385608	HP1325-MONOMER		
YLR450W		1032622	1035759	YLR450W-MONOMER		
AT4G11030	"AT4G11030"	6738116	6742225	AT4G11030-MONOMER		
HP0106		113333	114475	HP0106-MONOMER		
YLL041C		53131	53931	YLL041C-MONOMER		
AT3G48170		17797125	17800993	AT3G48170-MONOMER		
G7756	"b3439"	3578950	3579645	G7756-MONOMER		
YJL167W		105006	106064	MONOMER-655		
AT3G14420	"AT3G14420"	4821530	4824185	AT3G14420-MONOMER		
YHR174W	"YHR174W"	451327	452640	YHR174W-MONOMER		
AT2G44490		18371832	18374801	AT2G44490-MONOMER		
G3O-34274	"YPR139C"	813156	814058	G3O-34274-MONOMER		
YGL065C	YGL065C	379760	381271	YGL065C-MONOMER		
AT2G31830		13539853	13544818	AT2G31830-MONOMER		
G3O-33466		224420	226075	MONOMER3O-77		
YDR178W		817950	818495	YDR178W-MONOMER		
AT1G67070		25045798	25048306	AT1G67070-MONOMER		
G3O-32438	"YLR369W"	859552	861525	G3O-32438-MONOMER		
YBR183W	"YBR183W"	596073	597023	YBR183W-MONOMER		
AT1G43670				AT1G43670-MONOMER		
G3O-310	"YOR155C"	626628	627980	MONOMER3O-10		
VC0774		830176	830964	VC0774-MONOMER		
AT1G01120				AT1G01120-MONOMER		
G3O-29358	"YCR047C"	210718	211545	G3O-29358-MONOMER		
SYNPCC7942_2296		2366072	2367376	SYNPCC7942_2296-MONOMER		
G185E-8152	"Rv3854c"	4326004	4327473	G185E-8152-MONOMER		
SYNPCC7942_1743		1814092	1815276	SYNPCC7942_1743-MONOMER		
G185E-5506	"Rv1327c"	1492320	1494425	G185E-5506-MONOMER		
SYNPCC7942_1249		1273621	1273755	SYNPCC7942_1249-MONOMER		
G12WB-3449	"CD630_32820"	3842259	3844628	G12WB-3449-MONOMER		
SYNPCC7942_1052		1064073	1064594	SYNPCC7942_1047-MONOMER		
G-17747				MONOMER-18237		
SYNPCC7942_0535		519088	519333	SYNPCC7942_0535-MONOMER		
