HMDB,Compound,Reaction,Reaction Name,MetaCyc Gene,HGNC,Ensembl
HMDB00123,GLY,RXN-6622,L-cysteinyl-glycine + H<sub>2</sub>O  &rarr;  L-cysteine + glycine,EG10696,pepN,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",AT4G37930,AT4G37930,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",EG10408,glyA,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",G-162,glyA,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",G-3267,glyA,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",G-3321,glyA,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",G-6541,glyA1,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",YBR263W,SHM1,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",YLR058C,SHM2,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",HS01069,SHMT1,NA
HMDB00123,GLY,GLYOHMETRANS-RXN,"L-serine + a tetrahydrofolate  &harr;  glycine + a 5,10-methylene-tetrahydrofolate + H<sub>2</sub>O",HS00049,SHMT2,NA
HMDB00123,GLY,THREONINE-ALDOLASE-RXN,L-threonine  &rarr;  acetaldehyde + glycine,YEL046C,GLY1,NA
HMDB00123,GLY,THREONINE-ALDOLASE-RXN,L-threonine  &rarr;  acetaldehyde + glycine,G6455,ltaE,NA
HMDB00123,GLY,RXN66-337,leukotriene-D4 + H<sub>2</sub>O  &rarr;  glycine + leukotriene-E4,HS00367,DPEP1,ENSG00000015413
HMDB00123,GLY,RXN66-337,leukotriene-D4 + H<sub>2</sub>O  &rarr;  glycine + leukotriene-E4,HS09532,DPEP2,ENSG00000167261
HMDB00123,GLY,RXN-10821,phenylacetyl-CoA + glycine  &rarr;  phenylacetylglycine + coenzyme A + H<SUP>+</SUP>,G-11506,GAT,NA
HMDB00123,GLY,RXN66-577,"sarcosine + 2 an oxidized electron-transfer flavoprotein + a tetrahydrofolate + 3 H<SUP>+</SUP>  &rarr;  glycine + a 5,10-methenyltetrahydrofolate + 2 a reduced electron-transfer flavoprotein",HS04663,SARDH,ENSG00000123453
HMDB00123,GLY,SARCOSINE-DEHYDROGENASE-RXN,sarcosine + an oxidized electron-transfer flavoprotein + H<sub>2</sub>O + H<SUP>+</SUP>  &rarr;  glycine + formaldehyde + a reduced electron-transfer flavoprotein,HS04663,SARDH,ENSG00000123453
HMDB00123,GLY,SARCOSINE-DEHYDROGENASE-RXN,sarcosine + an oxidized electron-transfer flavoprotein + H<sub>2</sub>O + H<SUP>+</SUP>  &rarr;  glycine + formaldehyde + a reduced electron-transfer flavoprotein,G-12425,SarDH,NA
HMDB00123,GLY,SARCOX-RXN,sarcosine + oxygen + H<sub>2</sub>O  &rarr;  glycine + formaldehyde + hydrogen peroxide,G-6481,soxA,NA
HMDB00123,GLY,SARCOX-RXN,sarcosine + oxygen + H<sub>2</sub>O  &rarr;  glycine + formaldehyde + hydrogen peroxide,G-8522,soxA,NA
HMDB00123,GLY,SARCOX-RXN,sarcosine + oxygen + H<sub>2</sub>O  &rarr;  glycine + formaldehyde + hydrogen peroxide,G-6482,soxB,NA
HMDB00123,GLY,SARCOX-RXN,sarcosine + oxygen + H<sub>2</sub>O  &rarr;  glycine + formaldehyde + hydrogen peroxide,G-6484,soxD,NA
HMDB00123,GLY,SARCOX-RXN,sarcosine + oxygen + H<sub>2</sub>O  &rarr;  glycine + formaldehyde + hydrogen peroxide,G-6483,soxG,NA
HMDB00123,GLY,STROMBINE-DEHYDROGENASE-RXN,strombine + NAD<sup>+</sup> + H<sub>2</sub>O  &larr;  pyruvate + glycine + NADH + H<SUP>+</SUP>,G-17718,St/AlDH,NA
HMDB00123,GLY,RXN-12528,[Glu(-Cys)]<sub>n</sub>-&beta;-Ala + glutathione  &rarr;  [Glu(-Cys)]<sub>(n+1)</sub>-&beta;-Ala + glycine,G-12589,PCS1,NA
HMDB00123,GLY,2.3.2.15-RXN,[Glu-Cys]<sub>n</sub>-Gly + glutathione  &rarr;  [Glu-Cys]<sub>(n+1)</sub>-Gly + glycine,G-12589,PCS1,NA
HMDB00123,GLY,2.3.2.15-RXN,[Glu-Cys]<sub>n</sub>-Gly + glutathione  &rarr;  [Glu-Cys]<sub>(n+1)</sub>-Gly + glycine,G-12588,PCS1,NA
HMDB00123,GLY,2.3.2.15-RXN,[Glu-Cys]<sub>n</sub>-Gly + glutathione  &rarr;  [Glu-Cys]<sub>(n+1)</sub>-Gly + glycine,G-12590,PCS1,NA
HMDB00742,HOMO-CYS,RXN-14632,2 L-homocysteine  &rarr;  hydrogen sulfide + L-homolanthionine,HS04050,CTH,ENSG00000116761
HMDB00742,HOMO-CYS,ACETYLHOMOSER-CYS-RXN,<i>O</i>-acetyl-L-homoserine + hydrogen sulfide  &harr;  L-homocysteine + acetate + H<SUP>+</SUP>,YLR303W,met17,NA
HMDB00742,HOMO-CYS,ACETYLHOMOSER-CYS-RXN,<i>O</i>-acetyl-L-homoserine + hydrogen sulfide  &harr;  L-homocysteine + acetate + H<SUP>+</SUP>,G-7085,metY,NA
HMDB00742,HOMO-CYS,ACETYLHOMOSER-CYS-RXN,<i>O</i>-acetyl-L-homoserine + hydrogen sulfide  &harr;  L-homocysteine + acetate + H<SUP>+</SUP>,G18NG-10215,metY,NA
HMDB00742,HOMO-CYS,ADENOSYLHOMOCYSTEINASE-RXN,<i>S</i>-adenosyl-L-homocysteine + H<sub>2</sub>O  &harr;  L-homocysteine + adenosine,G-6562,Ahcy,NA
HMDB00742,HOMO-CYS,HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN,<i>S</i>-adenosyl-L-methionine + L-homocysteine  &rarr;  L-methionine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>,AT3G25900,AT3g25900,NA
HMDB00742,HOMO-CYS,HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN,<i>S</i>-adenosyl-L-methionine + L-homocysteine  &rarr;  L-methionine + <i>S</i>-adenosyl-L-homocysteine + H<SUP>+</SUP>,AT3G63250,AT3g63250,NA
HMDB00742,HOMO-CYS,RIBOSYLHOMOCYSTEINASE-RXN,<i>S</i>-ribosyl-L-homocysteine  &rarr;  L-homocysteine + autoinducer 2,G-11128,luxS,NA
HMDB00742,HOMO-CYS,RIBOSYLHOMOCYSTEINASE-RXN,<i>S</i>-ribosyl-L-homocysteine  &rarr;  L-homocysteine + autoinducer 2,G-11132,luxS,NA
HMDB00742,HOMO-CYS,RIBOSYLHOMOCYSTEINASE-RXN,<i>S</i>-ribosyl-L-homocysteine  &rarr;  L-homocysteine + autoinducer 2,G-11134,luxS,NA
HMDB00742,HOMO-CYS,RIBOSYLHOMOCYSTEINASE-RXN,<i>S</i>-ribosyl-L-homocysteine  &rarr;  L-homocysteine + autoinducer 2,HP0105,luxS,NA
HMDB00742,HOMO-CYS,RIBOSYLHOMOCYSTEINASE-RXN,<i>S</i>-ribosyl-L-homocysteine  &rarr;  L-homocysteine + autoinducer 2,EG12712,luxS,NA
HMDB00742,HOMO-CYS,RXN-15131,L-cystathionine  &rarr;  2-aminoprop-2-enoate + L-homocysteine + H<SUP>+</SUP>,AT3G57050,CBL1,NA
HMDB00742,HOMO-CYS,RXN-15131,L-cystathionine  &rarr;  2-aminoprop-2-enoate + L-homocysteine + H<SUP>+</SUP>,EG10564,malY,NA
HMDB00742,HOMO-CYS,RXN-15131,L-cystathionine  &rarr;  2-aminoprop-2-enoate + L-homocysteine + H<SUP>+</SUP>,EG10583,metC,NA
HMDB00742,HOMO-CYS,RXN-15131,L-cystathionine  &rarr;  2-aminoprop-2-enoate + L-homocysteine + H<SUP>+</SUP>,YGL184C,STR3,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,AT5G17920,AtMS1,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,AT3G03780,AtMS2,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,YER091C,met6,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,G-9131,metE,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,G18NG-10711,metE,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,G-11130,metE,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,EG10584,metE,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,G18NG-11090,metH,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,EG10587,metH,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,G-7001,Mtr,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,HS04076,MTR,NA
HMDB00742,HOMO-CYS,HOMOCYSMET-RXN,L-homocysteine + <i>N</i><sup>5</sup>-methyltetrahydropteroyl tri-L-glutamate  &harr;  L-methionine + tetrahydropteroyl tri-L-glutamate,G-7121,StMS1,NA
HMDB00742,HOMO-CYS,HOMOCYSMETB12-RXN,L-homocysteine + an <i>N</i><sup>5</sup>-methyltetrahydrofolate  &rarr;  L-methionine + a tetrahydrofolate,G18NG-11090,metH,NA
HMDB00742,HOMO-CYS,HOMOCYSMETB12-RXN,L-homocysteine + an <i>N</i><sup>5</sup>-methyltetrahydrofolate  &rarr;  L-methionine + a tetrahydrofolate,EG10587,metH,NA
HMDB00742,HOMO-CYS,HOMOCYSMETB12-RXN,L-homocysteine + an <i>N</i><sup>5</sup>-methyltetrahydrofolate  &rarr;  L-methionine + a tetrahydrofolate,G-7001,Mtr,NA
HMDB00742,HOMO-CYS,HOMOCYSMETB12-RXN,L-homocysteine + an <i>N</i><sup>5</sup>-methyltetrahydrofolate  &rarr;  L-methionine + a tetrahydrofolate,HS04076,MTR,NA
HMDB00742,HOMO-CYS,2.1.1.5-RXN,"L-homocysteine + glycine betaine  &rarr;  L-methionine + <i>N,N</i>-dimethylglycine",G-7021,Bhmt,NA
HMDB00742,HOMO-CYS,2.1.1.5-RXN,"L-homocysteine + glycine betaine  &rarr;  L-methionine + <i>N,N</i>-dimethylglycine",HS07273,BHMT,ENSG00000145692
HMDB00742,HOMO-CYS,2.1.1.5-RXN,"L-homocysteine + glycine betaine  &rarr;  L-methionine + <i>N,N</i>-dimethylglycine",G-6485,gbt,NA
HMDB00742,HOMO-CYS,CYSTATHIONINE-BETA-SYNTHASE-RXN,L-serine + L-homocysteine  &harr;  L-cystathionine + H<sub>2</sub>O,G-6563,Cbs,NA
HMDB00742,HOMO-CYS,CYSTATHIONINE-BETA-SYNTHASE-RXN,L-serine + L-homocysteine  &harr;  L-cystathionine + H<sub>2</sub>O,HS08461,CBS,ENSG00000160200
HMDB00742,HOMO-CYS,CYSTATHIONINE-BETA-SYNTHASE-RXN,L-serine + L-homocysteine  &harr;  L-cystathionine + H<sub>2</sub>O,YGR155W,CYS4,NA
HMDB00742,HOMO-CYS,CYSTATHIONINE-BETA-SYNTHASE-RXN,L-serine + L-homocysteine  &harr;  L-cystathionine + H<sub>2</sub>O,HP0107,cysK,NA
HMDB00742,HOMO-CYS,RXN-17004,L-valine + L-tryptophan + L-methionine + 2 NADPH + 2 H<SUP>+</SUP>  &rarr;  <i>N</i>-methyl-L-valyl-L-tryptophanol + L-homocysteine + 2 NADP<sup>+</sup> + 2 H<sub>2</sub>O,G-44188,ltxA,NA
HMDB00742,HOMO-CYS,RXN-9384,O-succinyl-L-homoserine + hydrogen sulfide  &rarr;  L-homocysteine + succinate + H<SUP>+</SUP>,G-10633,metZ,NA
HMDB00742,HOMO-CYS,MMUM-RXN,S-methyl-L-methionine + L-homocysteine  &rarr;  2 L-methionine + H<SUP>+</SUP>,AT3G25900,AT3g25900,NA
HMDB00742,HOMO-CYS,MMUM-RXN,S-methyl-L-methionine + L-homocysteine  &rarr;  2 L-methionine + H<SUP>+</SUP>,AT3G63250,AT3g63250,NA
HMDB00742,HOMO-CYS,MMUM-RXN,S-methyl-L-methionine + L-homocysteine  &rarr;  2 L-methionine + H<SUP>+</SUP>,HS05696,BHMT2,ENSG00000132840
HMDB00742,HOMO-CYS,MMUM-RXN,S-methyl-L-methionine + L-homocysteine  &rarr;  2 L-methionine + H<SUP>+</SUP>,G-11675,HMT1,NA
HMDB00742,HOMO-CYS,MMUM-RXN,S-methyl-L-methionine + L-homocysteine  &rarr;  2 L-methionine + H<SUP>+</SUP>,G6136,mmuM,NA
HMDB00742,HOMO-CYS,MMUM-RXN,S-methyl-L-methionine + L-homocysteine  &rarr;  2 L-methionine + H<SUP>+</SUP>,G-11674,SMT,NA
HMDB00574,CYS,RXN66-555,(<i>R</i>)-4'-phosphopantothenate + L-cysteine + ATP  &rarr;  (R)-4'-phosphopantothenoyl-L-cysteine + AMP + diphosphate + H<SUP>+</SUP>,YIL083C,CAB2,NA
HMDB00574,CYS,RXN66-555,(<i>R</i>)-4'-phosphopantothenate + L-cysteine + ATP  &rarr;  (R)-4'-phosphopantothenoyl-L-cysteine + AMP + diphosphate + H<SUP>+</SUP>,HS13229,PPCS,ENSG00000127125
HMDB00574,CYS,RXN66-555,(<i>R</i>)-4'-phosphopantothenate + L-cysteine + ATP  &rarr;  (R)-4'-phosphopantothenoyl-L-cysteine + AMP + diphosphate + H<SUP>+</SUP>,AT1G12350,PPCS1,NA
HMDB00574,CYS,P-PANTOCYSLIG-RXN,(<i>R</i>)-4'-phosphopantothenate + L-cysteine + CTP  &rarr;  (R)-4'-phosphopantothenoyl-L-cysteine + CMP + diphosphate + H<SUP>+</SUP>,EG10004,dfp,NA
HMDB00574,CYS,RXN1G-121,1-(2-amino-2-deoxy-&alpha;-D-glucopyranosyl)-1D-myo-inositol + L-cysteine + ATP  &rarr;  deacetylmycothiol + AMP + diphosphate + H<SUP>+</SUP>,G-7321,mshC,NA
HMDB00574,CYS,RXN-17173,2 3-hydroxyquinaldyl-D-cysteinyl-glycyl-[non-ribosomal peptide synthase] + 4 L-cysteine + 4 ATP + 4 <i>S</i>-adenosyl-L-methionine  &rarr;  S-demethyl-thiocoraline dithiol + 2 non-ribosomal peptide synthase + 4 AMP + 4 <i>S</i>-adenosyl-L-homocysteine + 4 diphosphate + 8 H<SUP>+</SUP>,G-44310,tioS,NA
HMDB00574,CYS,RXN66-534,2 L-cysteine  &rarr;  lanthionine + hydrogen sulfide,HS04050,CTH,ENSG00000116761
HMDB00574,CYS,RXN-14647,2 L-cysteine<sub>[out]</sub> + 2 H<SUP>+</SUP><sub>[out]</sub>  &harr;  2 L-cysteine<sub>[in]</sub> + 2 H<SUP>+</SUP><sub>[in]</sub>,AT1G58360,At1g58360,NA
HMDB00574,CYS,RXN-17157,2 quinoxaline-2-carboxyl-D-seryl-L-alanyl-[non-ribosomal peptide synthase] + 2 L-cysteine + 2 L-valine + 4 ATP + 4 <i>S</i>-adenosyl-L-methionine  &rarr;  triostin A dithiol + 2 non-ribosomal peptide synthase + 4 AMP + 4 <i>S</i>-adenosyl-L-homocysteine + 4 diphosphate + 8 H<SUP>+</SUP>,G-44301,trsI,NA
HMDB00574,CYS,CYSTEINE-AMINOTRANSFERASE-RXN,2-oxoglutarate + L-cysteine  &harr;  L-glutamate + 3-mercaptopyruvate,EG10096,aspC,NA
HMDB00574,CYS,CYSTEINE-AMINOTRANSFERASE-RXN,2-oxoglutarate + L-cysteine  &harr;  L-glutamate + 3-mercaptopyruvate,G-9576,Got1,NA
HMDB00574,CYS,CYSTEINE-AMINOTRANSFERASE-RXN,2-oxoglutarate + L-cysteine  &harr;  L-glutamate + 3-mercaptopyruvate,G-9928,GOT1,NA
HMDB00574,CYS,RXN-17172,3-hydroxyquinaldyl-[acyl-carrier protein] + L-cysteine + glycine + non-ribosomal peptide synthase + 2 ATP  &rarr;  3-hydroxyquinaldyl-D-cysteinyl-glycyl-[non-ribosomal peptide synthase] + a <i>holo</i>-[acyl-carrier protein] + 2 AMP + 2 diphosphate + 2 H<SUP>+</SUP>,G-44309,tioR,NA
HMDB00574,CYS,ACSERLY-RXN,<i>O</i>-acetyl-L-serine + hydrogen sulfide  &harr;  L-cysteine + acetate + H<SUP>+</SUP>,EG10192,cysK,NA
HMDB00574,CYS,ACSERLY-RXN,<i>O</i>-acetyl-L-serine + hydrogen sulfide  &harr;  L-cysteine + acetate + H<SUP>+</SUP>,EG10193,cysM,NA
HMDB00574,CYS,ACSERLY-RXN,<i>O</i>-acetyl-L-serine + hydrogen sulfide  &harr;  L-cysteine + acetate + H<SUP>+</SUP>,G-16008,dcsD,NA
HMDB00574,CYS,ACSERLY-RXN,<i>O</i>-acetyl-L-serine + hydrogen sulfide  &harr;  L-cysteine + acetate + H<SUP>+</SUP>,AT4G14880,oasA1,NA
HMDB00574,CYS,ACSERLY-RXN,<i>O</i>-acetyl-L-serine + hydrogen sulfide  &harr;  L-cysteine + acetate + H<SUP>+</SUP>,AT2G43750,oasB,NA
HMDB00574,CYS,ACSERLY-RXN,<i>O</i>-acetyl-L-serine + hydrogen sulfide  &harr;  L-cysteine + acetate + H<SUP>+</SUP>,AT3G59760,oasC,NA
HMDB00574,CYS,RXN-11623,"<i>S</i>-(2<i>E</i>,6<i>E</i>)-farnesyl-L-cysteine + oxygen + H<sub>2</sub>O  &rarr;  (2<i>E</i>,6<i>E</i>)-farnesal + L-cysteine + hydrogen peroxide",AT5G63910,FCLY,NA
HMDB00574,CYS,RXN-16876,a (2E)-2-amino-3-sulfanylprop-2-enoyl-[HlmE non-ribosomal peptide synthetase] + L-cysteine + ATP + an oxidized electron acceptor  &rarr;  a (2E)-2-[(2E)-2-azanidyl-3-sulfanylprop-2-enamido]-3-[HlmE non-ribosomal peptide synthetase] + AMP + a reduced electron acceptor + diphosphate + H<SUP>+</SUP>,G-44110,hlmL,NA
HMDB00574,CYS,CYSTEINE--TRNA-LIGASE-RXN,a tRNA<SUP>cys</SUP> + L-cysteine + ATP  &rarr;  an L-cysteinyl-[tRNA<SUP>cys</SUP>] + AMP + diphosphate,EG10196,cysS,NA
HMDB00574,CYS,RXN-14567,a [CysO sulfur-carrier protein]-<i>S</i>-L-cysteine + H<sub>2</sub>O  &rarr;  a CysO sulfur-carrier protein + L-cysteine + H<SUP>+</SUP>,G185E-5513,mec,NA
HMDB00574,CYS,RXN-14385,a [cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex + L-cysteine  &rarr;  an <i>S</i>-sulfanyl-[cysteine desulfurase]-<i>S</i>-sulfanyl-[disordered-form scaffold protein] complex + L-alanine,G3O-29283,NFS1,NA
HMDB00574,CYS,RXN-16874,an HlmE non-ribosomal peptide synthetase + L-cysteine + ATP  &rarr;  an L-cysteinyl-[HlmE non-ribosomal peptide synthetase] + AMP + diphosphate,G-44108,hlmE,NA
HMDB00574,CYS,RXN0-308,an [L-cysteine desulfurase]-L-cysteine + L-cysteine  &rarr;  an [L-cysteine desulfurase] L-cysteine persulfide + L-alanine,G7325,iscS,NA
HMDB00574,CYS,RXN0-308,an [L-cysteine desulfurase]-L-cysteine + L-cysteine  &rarr;  an [L-cysteine desulfurase] L-cysteine persulfide + L-alanine,BSU29590,iscS,NA
HMDB00574,CYS,RXN0-308,an [L-cysteine desulfurase]-L-cysteine + L-cysteine  &rarr;  an [L-cysteine desulfurase] L-cysteine persulfide + L-alanine,G3O-29283,NFS1,NA
HMDB00574,CYS,RXN0-308,an [L-cysteine desulfurase]-L-cysteine + L-cysteine  &rarr;  an [L-cysteine desulfurase] L-cysteine persulfide + L-alanine,HS01304,NFS1,NA
HMDB00574,CYS,RXN0-308,an [L-cysteine desulfurase]-L-cysteine + L-cysteine  &rarr;  an [L-cysteine desulfurase] L-cysteine persulfide + L-alanine,G6906,sufS,NA
HMDB00574,CYS,RXN-15801,hercynine + L-cysteine + oxygen  &rarr;  S-(hercyn-2-yl)-L-cysteine S-oxide + H<sub>2</sub>O,G-34553,egt-1,NA
HMDB00574,CYS,6.3.2.26-RXN,L-2-aminoadipate + L-cysteine + L-valine + 3 ATP + H<sub>2</sub>O  &rarr;  <i>N</i>-[(5<i>S</i>)-5-amino-5-carboxypentanoyl]-L-cysteinyl-D-valine + 3 AMP + 3 diphosphate + 3 H<SUP>+</SUP>,G-10144,PCBAB,NA
HMDB00574,CYS,RXN-14048,L-cystathionine  &rarr;  (2Z)-2-aminobut-2-enoate + L-cysteine + H<SUP>+</SUP>,HS04050,CTH,ENSG00000116761
HMDB00574,CYS,RXN-14048,L-cystathionine  &rarr;  (2Z)-2-aminobut-2-enoate + L-cysteine + H<SUP>+</SUP>,G-6564,Cth,NA
HMDB00574,CYS,RXN-14048,L-cystathionine  &rarr;  (2Z)-2-aminobut-2-enoate + L-cysteine + H<SUP>+</SUP>,YAL012W,CYS3,NA
HMDB00574,CYS,RXN-15130,L-cystathionine + H<sub>2</sub>O  &rarr;  2-oxobutanoate + L-cysteine + ammonium,HS04050,CTH,ENSG00000116761
HMDB00574,CYS,RXN-15130,L-cystathionine + H<sub>2</sub>O  &rarr;  2-oxobutanoate + L-cysteine + ammonium,G-6564,Cth,NA
HMDB00574,CYS,RXN-15129,L-cysteine  &rarr;  2-aminoprop-2-enoate + hydrogen sulfide + H<SUP>+</SUP>,G-7984,cdl,NA
HMDB00574,CYS,RXN-15129,L-cysteine  &rarr;  2-aminoprop-2-enoate + hydrogen sulfide + H<SUP>+</SUP>,EG10192,cysK,NA
HMDB00574,CYS,RXN-15129,L-cysteine  &rarr;  2-aminoprop-2-enoate + hydrogen sulfide + H<SUP>+</SUP>,EG10193,cysM,NA
HMDB00574,CYS,RXN-15129,L-cysteine  &rarr;  2-aminoprop-2-enoate + hydrogen sulfide + H<SUP>+</SUP>,EG10564,malY,NA
HMDB00574,CYS,RXN-15129,L-cysteine  &rarr;  2-aminoprop-2-enoate + hydrogen sulfide + H<SUP>+</SUP>,EG10583,metC,NA
HMDB00574,CYS,RXN-15129,L-cysteine  &rarr;  2-aminoprop-2-enoate + hydrogen sulfide + H<SUP>+</SUP>,EG11005,tnaA,NA
HMDB00574,CYS,RXN-12588,L-cysteine + an unsulfurated [sulfur carrier]  &rarr;  L-alanine + a sulfurated [sulfur carrier],G7325,iscS,NA
HMDB00574,CYS,RXN-12588,L-cysteine + an unsulfurated [sulfur carrier]  &rarr;  L-alanine + a sulfurated [sulfur carrier],BSU29590,iscS,NA
HMDB00574,CYS,RXN-12588,L-cysteine + an unsulfurated [sulfur carrier]  &rarr;  L-alanine + a sulfurated [sulfur carrier],G3O-29283,NFS1,NA
HMDB00574,CYS,RXN-12588,L-cysteine + an unsulfurated [sulfur carrier]  &rarr;  L-alanine + a sulfurated [sulfur carrier],HS01304,NFS1,NA
HMDB00574,CYS,RXN-12588,L-cysteine + an unsulfurated [sulfur carrier]  &rarr;  L-alanine + a sulfurated [sulfur carrier],G6906,sufS,NA
HMDB00574,CYS,RXN-11115,L-cysteine + ATP + H<SUP>+</SUP>  &rarr;  L-cysteine-adenylate + diphosphate,G-11714,pchE,NA
HMDB00574,CYS,L-3-CYANOALANINE-SYNTHASE-RXN,L-cysteine + hydrogen cyanide  &harr;  hydrogen sulfide + 3-cyano-L-alanine + H<SUP>+</SUP>,AT3G61440,At3g61440,NA
HMDB00574,CYS,L-3-CYANOALANINE-SYNTHASE-RXN,L-cysteine + hydrogen cyanide  &harr;  hydrogen sulfide + 3-cyano-L-alanine + H<SUP>+</SUP>,G-12543,CAS1,NA
HMDB00574,CYS,L-3-CYANOALANINE-SYNTHASE-RXN,L-cysteine + hydrogen cyanide  &harr;  hydrogen sulfide + 3-cyano-L-alanine + H<SUP>+</SUP>,G-12544,CAS2,NA
HMDB00574,CYS,L-3-CYANOALANINE-SYNTHASE-RXN,L-cysteine + hydrogen cyanide  &harr;  hydrogen sulfide + 3-cyano-L-alanine + H<SUP>+</SUP>,G-8872,SPIol;Bsas3;1,NA
HMDB00574,CYS,RXN-8351,L-cysteine + MoO<sub>2</sub>-molybdopterin cofactor + a reduced electron acceptor  &rarr;  L-alanine + thio-molybdenum cofactor + an oxidized electron acceptor + H<sub>2</sub>O,AT1G16540,ABA3,NA
HMDB00574,CYS,CYSPH-RXN,L-cysteine + O-phospho-L-homoserine  &rarr;  L-cystathionine + phosphate,AT3G01120,CGS1,NA
HMDB00574,CYS,O-SUCCHOMOSERLYASE-RXN,L-cysteine + O-succinyl-L-homoserine  &harr;  succinate + L-cystathionine + H<SUP>+</SUP>,HP0106,metB,NA
HMDB00574,CYS,O-SUCCHOMOSERLYASE-RXN,L-cysteine + O-succinyl-L-homoserine  &harr;  succinate + L-cystathionine + H<SUP>+</SUP>,EG10582,metB,NA
HMDB00574,CYS,O-SUCCHOMOSERLYASE-RXN,L-cysteine + O-succinyl-L-homoserine  &harr;  succinate + L-cystathionine + H<SUP>+</SUP>,YJR130C,STR2,NA
HMDB00574,CYS,CYSTEINE-DIOXYGENASE-RXN,L-cysteine + oxygen  &rarr;  3-sulfinoalanine + H<SUP>+</SUP>,G-6841,Cdo1,NA
