pathwayID	Name	Matches
PWY-6670	citronellol degradation	"RXN-11913, RXN-11914, RXN-11912, RXN-11915"
PWY-5679	clavulanate biosynthesis	"3.5.3.22-RXN, RXN-8893, RXN-8892, 2.5.1.66-RXN, 1.14.11.21-RXN, RXN-6267, 6.3.3.4-RXN, RXN-6266"
PWY-7205	CMP phosphorylation	"RXN-11832, CDPKIN-RXN"
PWY-6140	CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis	"RXN-9993, RXN-9992, MANNKIN-RXN, RXN-9991"
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	"CPM-KDOSYNTH-RXN, KDO-8PPHOSPHAT-RXN, RXN-16804, DARAB5PISOM-RXN, KDO-8PSYNTH-RXN"
PWY-7674	"CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis"	"RXN-16747, RXN-16746, KDO-8PPHOSPHAT-RXN, RXN-16748, RXN-16804, DARAB5PISOM-RXN, KDO-8PSYNTH-RXN"
PWY-7529	CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis	"RXN-15654, RXN-15653, RXN-15655, RXN-15652"
PWY-6138	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	"RXN-9990, RXN-9989, NANK-RXN, RXN-9988, RXN-9987"
PWY-6139	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	"RXN-9990, N-ACETYLNEURAMINATE-SYNTHASE-RXN, RXN-9987"
PWY-6144	CMP-<i>N</i>-glycoloylneuraminate biosynthesis	1.14.18.2-RXN
PWY-7719	CMP-diacetamido-8-epilegionaminic acid biosynthesis	"RXN-17078, RXN-17083, RXN-17079, RXN-17080, RXN-17082, RXN-17081, RXN-9998"
PWY-6749	CMP-legionaminate biosynthesis I	"L-GLN-FRUCT-6-P-AMINOTRANS-RXN, RXN-12238, RXN-12239, RXN-12231, 5.4.2.10-RXN, RXN-12236, RXN-12234, RXN-12235, RXN-12233, RXN-12232"
PWY-7131	CMP-legionaminate biosynthesis II	"RXN-12238, RXN-12239, RXN-13574"
PWY-6143	CMP-pseudaminate biosynthesis	"RXN-10002, RXN-10003, RXN-10001, RXN-9999, RXN-10000, RXN-9998"
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	"RXN0-5224, PEPCARBOX-RXN"
PWY-7377	"cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)"	"RXN-8762, 2.1.1.151-RXN, RXN-8675, UROPORIIIMETHYLTRANSA-RXN, RXN-14315, RXN-8761, RXN-8763, RXN-8764, RXN-8766, RXN-8765, RXN-8767, RXN-8768, RXN-8769, DIMETHUROPORDEHYDROG-RXN, 4.99.1.3-RXN"
PWY-7376	"cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)"	"RXN-8675, UROPORIIIMETHYLTRANSA-RXN, R341-RXN, R342-RXN, 2.1.1.130-RXN, R321-RXN, 2.1.1.131-RXN, 2.1.1.133-RXN, R322-RXN, RXN-13824, 1.3.1.54-RXN, RXN-13826, 5.4.1.2-RXN"
PWY-5843	cocaine biosynthesis	"RXN-9196, RXN-9203, RXN-9198, RXN-9197, RXN-9199, RXN-9201, RXN-13587, RXN-9202, RXN-9195"
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	"P-PANTOCYSLIG-RXN, P-PANTOCYSDECARB-RXN, DEPHOSPHOCOAKIN-RXN, PANTEPADENYLYLTRAN-RXN"
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	"RXN66-555, P-PANTOCYSDECARB-RXN, DEPHOSPHOCOAKIN-RXN, PANTEPADENYLYLTRAN-RXN"
P241-PWY	coenzyme B biosynthesis	"R214-RXN, R218-RXN, HOMOACONITATE-HYDRATASE-RXN, RXN-7970, RXN3O-1983, HOMOCITRATE-SYNTHASE-RXN, R224-RXN, R226-RXN, R227-RXN, R225-RXN, R213-RXN, R217-RXN, R212-RXN, R211-RXN, R216-RXN, R215-RXN"
PWY-5207	coenzyme B/coenzyme M regeneration	"RXN-8106, 1.8.98.1-RXN, RXN-7733"
P261-PWY	coenzyme M biosynthesis I	"R230-RXN, 4.4.1.19-RXN, R229-RXN, R233-RXN, R231-RXN, R232-RXN, R234-RXN"
PWY-6643	coenzyme M biosynthesis II	"R233-RXN, RXN-11108, R231-RXN, RXN-11737, R232-RXN, R234-RXN"
COLANSYN-PWY	colanic acid building blocks biosynthesis	"PHOSPHOGLUCMUT-RXN, GLUC1PURIDYLTRANS-RXN, PHOSMANMUT-RXN, 2.7.7.13-RXN, PGLUCISOM-RXN, MANNPISOM-RXN, GDPMANDEHYDRA-RXN, 1.1.1.271-RXN, UDPGLUCEPIM-RXN, UGD-RXN"
PWY-5846	colchicine biosynthesis	"RXN-9206, RXN-9207, RXN-9210, RXN-9209, RXN-13557, RXN-13556"
PWY-5133	colupulone and cohumulone biosynthesis	"RXN-18447, RXN-7809, RXN-7813, RXN-18449, RXN-7812, RXN-7805"
PWY-116	coniferin metabolism	"CONIFERIN-BETA-GLUCOSIDASE-RXN, 2.4.1.111-RXN"
PWY-7643	coniferyl alcohol 9-methyl ester biosynthesis	RXN-16476
PWY0-43	conversion of succinate to propanoate	"METHYLMALONYL-COA-MUT-RXN, RXN0-310, RXN0-268"
PWY-5476	cornusiin E biosynthesis	"RXN-8719, RXN-8720"
PWY-6540	costunolide biosynthesis	"RXN-8962, RXN-11527, RXN-15459, RXN-15461, RXN-8970, RXN-8971, RXN-15458, RXN-15460, RXN-8969"
PWY-5176	coumarin biosynthesis (via 2-coumarate)	"RXN-8036, RXN-8035, TRANS-CINNAMATE-2-MONOOXYGENASE-RXN, RXN-8037, 2.4.1.114-RXN"
PWY-5319	coumarin metabolism (to melilotic acid)	"RXN-8250, DIHYDROCOUMARIN-LIPASE-RXN"
PWY-7398	coumarins biosynthesis (engineered)	"RXN-16763, RXN-12965, 4-COUMARATE--COA-LIGASE-RXN, RXN-14988, RXN-12963, RXN-12350, RXN-1126, RXN-16762, CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN, RXN-12349, RXN-14987, RXN-9697, RXN-14990"
PWY-6332	coumestrol biosynthesis	"RXN-11641, RXN-11642, RXN-4502, RXN-11643, RXN-11640, RXN-4501"
GLYCGREAT-PWY	creatine biosynthesis	"GLYCINE-AMIDINOTRANSFERASE-RXN, GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN"
PWY-6158	creatine-phosphate biosynthesis	CREATINE-KINASE-RXN
CRNFORCAT-PWY	creatinine degradation I	"CREATINASE-RXN, CREATININASE-RXN, SARCOSINE-DEHYDROGENASE-RXN, SARCOX-RXN"
PWY-4722	creatinine degradation II	"N-CARBAMOYLSARCOSINE-AMIDASE-RXN, 3.5.2.14-RXN, CREATININE-DEAMINASE-RXN, SARCOSINE-DEHYDROGENASE-RXN, SARCOX-RXN"
PWY-4741	creatinine degradation III	"RXN-7261, METHYLGUANIDINASE-RXN"
PWY-6013	crepenynate biosynthesis	1.14.99.33-RXN
PWY-5397	crocetin biosynthesis	"RXN-15980, RXN-8470, RXN-15978, RXN-8477, RXN-15979"
PWY-5398	crocetin esters biosynthesis	"RXN-8476, RXN-8475, RXN-8472, RXN-8473, RXN-8474, RXN-8471"
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)	"GLUTACONYL-COA-DECARBOXYLASE-RXN, RXN-11667, RXN-11662, ACETYL-COA-ACETYLTRANSFER-RXN, RXN-15013, 1.1.1.259-RXN, RXN-8032, 4.2.1.100-RXN, HADTHAUERA-RXN, RXN-15012, ACETATE--COA-LIGASE-ADP-FORMING-RXN, RXN-15008, R265-RXN, R282-RXN, RXN-15010, GLUTARYL-COA-DEHYDROG-RXN"
PWY-7854	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	"RXN-8958, RXN-8960, RXN-8961, RXN-16391, RXN-8957, RXN-18381, METHYLMALONYL-COA-MUT-RXN, RXN-18384, RXN-18387, RXN-11002, RXN-8890, MALSYN-RXN, RXN-15977, RXN-8891"
PWY-6257	curcumene biosynthesis	"RXN-10597, RXN-10599, RXN-10598"
PWY0-1527	curcumin degradation	"RXN0-6676, RXN0-6677"
PWY-4421	curcumin glucoside biosynthesis	"RXN-13814, RXN-13813, RXN-7062, RXN-7066, RXN-7067, RXN-7065, RXN-7064, RXN-7063"
PWY-6432	curcuminoid biosynthesis	"RXN-11238, RXN-11243, RXN-11220, RXN-11223, RXN-11224, RXN-2001, RXN-11221, RXN-11225, RXN-11226, PHENYLALANINE-AMMONIA-LYASE-RXN"
PWY-282	cuticular wax biosynthesis	"RXN-1023, RXNQT-4193, RXNQT-4192, RXN-1025, RXN-1021, RXN-1022"
PWY-321	cutin biosynthesis	"RXN-9807, RXN-16389, RXN-9802, RXN-1062, RXN-9803, RXN-16416, RXN-16417, RXN-1065, RXN-9806, RXN-9805, RXN-1064, RXN-9804, RXN-16400, RXN-9666, RXN-16398, PALMITOYL-COA-HYDROLASE-RXN"
CYANCAT-PWY	cyanate degradation	"RXN0-5222, R524-RXN, RXN0-5224"
P401-PWY	cyanide degradation	L-3-CYANOALANINE-SYNTHASE-RXN
ASPSYNII-PWY	cyanide detoxification I	"3.5.5.4-RXN, 3-CYANOALANINE-HYDRATASE-RXN, L-3-CYANOALANINE-SYNTHASE-RXN"
PWY-7142	cyanide detoxification II	"CYANIDE-HYDRATASE-RXN, FORMAMIDASE-RXN"
PWY-7464	"cyanidin 3,7-diglucoside polyacylation biosynthesis"	"RXN-15372, RXN-15374, RXN-15373"
PWY-7256	cyanidin diglucoside biosynthesis (acyl-glucose dependent)	"RXN-14436, RXN-14435, RXN-14434, RXN-14432, RXN-14446, RXN-13967, RXN-13970, RXN-13969"
PWY-7452	cyanidin dimalonylglucoside biosynthesis	"RXN-15336, RXN-15335"
PWY-7052	cyanophycin metabolism	"6.3.2.29-RXN, 3.4.15.6-RXN, RXN-13439, RXN-13440, 6.3.2.30-RXN"
PWY-5169	cyanurate degradation	"RXN-8930, R468-RXN, ALLOPHANATE-HYDROLASE-RXN"
PWY-7828	cyclobis-(1&rarr;6)-&alpha;-nigerosyl degradation	"RXN-18151, RXN-18149, RXN-18147"
PWY-301	cyclohexane-1-carboxylate degradation (anaerobic)	"R282-RXN, R281-RXN"
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	"6-HEXANOLIDE-HYDROLYSIS-RXN, 6-HYDROXYHEXANOATE-OXIDATION-RXN, 6-OXOHEXANOATE-OXIDATION-RXN, CYCLOHEXANOL-DEHYDROGENASE-RXN, CYCLOHEXANONE-MONOOXYGENASE-RXN"
PWY-7482	cyclooctatin biosynthesis	"RXN-15430, RXN-15431, RXN-15429"
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	2.1.1.79-RXN
PWY-6626	cytidine-5'-diphosphate-glycerol biosynthesis	"RXN-11708, RXN-11709, RXN-11710, RXN-11711"
PWY-6476	cytidylyl molybdenum cofactor biosynthesis	RXN0-6254
PWY-2902	cytokinin-<i>O</i>-glucosides biosynthesis	"RXN-4735, RXN-4723, RXN-4726, RXN-4737"
PWY-2881	cytokinins 7-<i>N</i>-glucoside biosynthesis	"RXN-4733, RXN-4727, RXN-4721, RXN-4736, RXN-4729, RXN-4724, RXN-4731"
PWY-2901	cytokinins 9-<i>N</i>-glucoside biosynthesis	"RXN-4734, RXN-4728, RXN-4722, RXN-4730, RXN-4725, RXN-4732"
PWY-2841	cytokinins degradation	"RXN-4662, RXN-4621, RXN-4661, RXN-4681, RXN-4641"
PWY-6364	"D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis"	"RXN-8730, 3.1.3.62-RXN, 2.7.1.127-RXN"
PWY-6351	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis"	"3.1.4.11-RXN, 2.7.1.68-RXN, 2.7.1.149-RXN, 2.7.8.11-RXN, 1-PHOSPHATIDYLINOSITOL-KINASE-RXN"
PWY-6363	"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation"	"RXN-10952, 3.1.3.57-RXN, 3.1.3.56-RXN"
PWY-6366	"D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis"	"2.7.1.133-RXN, 2.7.1.140-RXN, RXN-7162, RXN-10945"
PWY-6365	"D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis"	"2.7.1.133-RXN, 2.7.1.140-RXN, 2.7.1.134-RXN, RXN-10955"
PWY-6367	D-<i>myo</i>-inositol-5-phosphate metabolism	"RXN-10958, 3.1.4.11-RXN, RXN-9779, 2.7.1.149-RXN"
PWY0-44	D-allose degradation	"RXN0-303, ALLOSE-KINASE-RXN, RXN0-304"
PWY-7862	D-altritol and galactitol degradation	"RXN-18478, RXN-18477, RXN-18474, GALACTITOL-2-DEHYDROGENASE-RXN"
DARABCATK12-PWY	D-arabinose degradation I	"DARABISOM-RXN, DARABKIN-RXN, DARABALDOL-RXN, GLYCOLALD-DEHYDROG-RXN"
DARABCAT-PWY	D-arabinose degradation II	"D-RIBULOKIN-RXN, DARABISOM-RXN"
PWY-5519	D-arabinose degradation III	"25-DIOXOVALERATE-DEHYDROGENASE-RXN, RXN-8777, RXN-14807, RXN-8776, ARABINONATE-DEHYDRATASE-RXN, D-ARABINONOLACTONASE-RXN"
DARABITOLUTIL-PWY	D-arabitol degradation	"D-ARABINITOL-4-DEHYDROGENASE-RXN, XYLULOKIN-RXN"
PWY-6422	D-arginine degradation	"RXN-15849, RXN-15850, RXN-11194"
PWY-7471	D-carnitine degradation I	"RXN-5881, 1.1.1.254-RXN, RXN-5882"
PWY-7472	D-carnitine degradation II	"RXN-5881, CARNRACE-RXN, CARNITINE-3-DEHYDROGENASE-RXN, RXN-5882"
PWY-7274	D-cycloserine biosynthesis	"RXN-14458, RXN-14460, RXN-14459, RXN-12537, SERINE-O-ACETTRAN-RXN, RXN-14457"
PWY-7242	D-fructuronate degradation	"DEOXYGLUCONOKIN-RXN, KDPGALDOL-RXN, MANNONDEHYDRAT-RXN, MANNONOXIDOREDUCT-RXN"
GALACTARDEG-PWY	D-galactarate degradation I	"KDGALDOL-RXN, GKI-RXN, TSA-REDUCT-RXN, GALACTARDEHYDRA-RXN"
PWY-6497	D-galactarate degradation II	"25-DIOXOVALERATE-DEHYDROGENASE-RXN, 4.2.1.41-RXN, GALACTARDEHYDRA-RXN"
GALACTCAT-PWY	D-galactonate degradation	"DEHYDDEOXGALACTKIN-RXN, DEHYDDEOXPHOSGALACT-ALDOL-RXN, GALACTONDEHYDRAT-RXN"
PWY-7395	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	"3.5.1.80-RXN, RXN-13548, TAGAALDOL-RXN, TAGAKIN-RXN"
PWY-6317	D-galactose degradation I (Leloir pathway)	"GALACTOKIN-RXN, PHOSPHOGLUCMUT-RXN, ALDOSE1EPIM-RXN, UDPGLUCEPIM-RXN, GALACTURIDYLYLTRANS-RXN"
GALDEG-PWY	D-galactose degradation II	"GALACTONOLACTONASE-RXN, GALACTODEHYDROG-RXN"
PWY-6693	D-galactose degradation IV	"RXN-12079, RXN-12078, RXN-12080"
PWY66-422	D-galactose degradation V (Leloir pathway)	"GALACTOKIN-RXN, PHOSPHOGLUCMUT-RXN, ALDOSE1EPIM-RXN, UDPGLUCEPIM-RXN, GALACTURIDYLYLTRANS-RXN"
PWY-3821	D-galactose detoxification	"GALACTOKIN-RXN, UTPHEXPURIDYLYLTRANS-RXN, UDPGLUCEPIM-RXN"
GALACTUROCAT-PWY	D-galacturonate degradation I	"DEOXYGLUCONOKIN-RXN, KDPGALDOL-RXN, GALACTUROISOM-RXN, ALTRODEHYDRAT-RXN, ALTRO-OXIDOREDUCT-RXN"
PWY-6486	D-galacturonate degradation II	"URONATE-DEHYDROGENASE-RXN, 25-DIOXOVALERATE-DEHYDROGENASE-RXN, 4.2.1.41-RXN, RXN-15902, RXN-15901"
PWY-6491	D-galacturonate degradation III	"RXN-11381, RXN-11383, RXN-11380, RXN-11151, RXN-14753, RXN-11382"
PWY-6499	D-glucarate degradation II	"25-DIOXOVALERATE-DEHYDROGENASE-RXN, 4.2.1.41-RXN, GLUCARDEHYDRA-RXN"
GLUCONSUPER-PWY	D-gluconate degradation	GLUCONOKIN-RXN
PWY-7310	D-glucosaminate degradation	"RXN-14730, KDPGALDOL-RXN, RXN-14729"
PWY-5525	D-glucuronate degradation I	"DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN, RXN-14693, L-GULONATE-3-DEHYDROGENASE-RXN, GLUCURONATE-REDUCTASE-RXN, L-XYLULOSE-REDUCTASE-RXN"
PWY-6501	D-glucuronate degradation II	"RXN-11407, 25-DIOXOVALERATE-DEHYDROGENASE-RXN, 4.2.1.41-RXN, RXN-15907, RXN-15905"
PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transfer	"DLACTDEHYDROGFAD-RXN, RXN0-5268"
PWY0-1465	D-malate degradation	1.1.1.83-RXN
MANNCAT-PWY	D-mannose degradation	MANNPISOM-RXN
PWY0-1535	D-serine degradation	"RXN-15124, RXN-15127, RXN-15581"
PWY-6196	D-serine metabolism	"RXN-15124, RXN-15127, RXN-15581, 5.1.1.18-RXN"
PWY-4101	D-sorbitol degradation I	"FRUCTOKINASE-RXN, RXN-14515, RXN-7644"
SORBDEG-PWY	D-sorbitol degradation II	SORB6PDEHYDROG-RXN
PWY-7786	D-threitol degradation	"RXN-17761, RXN-17762, ERYTHRULOSE-REDUCTASE-RXN"
PWY-2343	daidzein conjugates interconversion	"RXN-3591, RXN-3585, RXN-3588, RXN-3584"
PWY-6996	daidzin and daidzein degradation	"RXN-13102, RXN-13101, RXN-11640, RXN-3591"
PWY-5821	dalcochinin biosynthesis	"RXN-9162, RXN-9165"
PWY-5825	dalpatein and dalnigrein biosynthesis	"3.2.1.161-RXN, RXN-9163, RXN-9166, RXN-9164"
PWY-6095	"dammara-20,24-diene biosynthesis"	RXN-9895
PWY-7706	dapdiamides biosynthesis	"RXN-16991, RXN-16987, RXN-16988, RXN-16292, RXN-16293, RXN-16291, RXN-16985, RXN-16990, RXN-16989, RXN-16290, RXN-16918"
PWY-7055	daphnetin modification	"RXN-13448, RXN-13454, RXN-13452, RXN-13450"
PWY-7056	daphnin interconversion	"RXN-13453, 2.4.1.104-RXN"
PWY-7352	daunorubicin biosynthesis	"RXN-14825, RXN-14827, RXN-14854, RXN-14826, RXN-16478, RXN-14829, RXN-14833, RXN-16479, RXN-14830, RXN-17998, RXN-14874, RXN-14875, RXN-14831, RXN-14844, RXN-14818, RXN-14824, RXN-14828, RXN-14846, RXN-14856"
PWY-5631	deacetylcephalosporin C biosynthesis	"1.14.20.1-RXN, 1.14.11.26-RXN, 5.1.1.17-RXN"
PWY18HP-2	decaprenoxanthin and decaprenoxanthin diglucoside biosynthesis	"RXN18HP-8, RXN18HP-7, RXN18HP-6, RXN18HP-9"
PWY-7655	dechlorogriseofulvin biosynthesis	"RXN-16546, RXN-16545, RXN-16544"
PWY-5726	deethylsimazine degradation	"R464-RXN, R465-RXN"
PWY3O-6	"dehydro-D-arabinono-1,4-lactone biosynthesis"	"1.1.1.117-RXN, D-ARABINOSE-1-DEHYDROGENASE-RXN, 1.1.3.37-RXN"
PWY-5421	dehydroabietic acid biosynthesis	"4.2.3.18-RXN, RXN-8530, RXN-8531, RXN-8534, RXN-8533, RXN-8532, RXN-4861"
PWY-6682	dehydrophos biosynthesis	"RXN-12007, RXN-12010, RXN-12011, RXN-12009, RXN-12008, RXN-9009, 4.1.1.82-RXN, RXN-12013, PHOSPHOENOLPYRUVATE-MUTASE-RXN, RXN-12012"
PWY-6337	dehydroscoulerine biosynthesis	"RETICULINE-OXIDASE-RXN, RXN-10888"
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)	"RXN-14448, RXN-14441, RXN-14442"
PWY-5853	demethylmenaquinol-6 biosynthesis I	RXN-9217
PWY-7372	demethylmenaquinol-6 biosynthesis II	RXN-14909
PWY-5852	demethylmenaquinol-8 biosynthesis I	DMK-RXN
PWY-6262	demethylmenaquinol-8 biosynthesis II	RXN-10623
PWY-6793	demethylmenaquinol-8 biosynthesis III	RXN-10623
PWY-5851	demethylmenaquinol-9 biosynthesis	RXN-9204
PWY-7712	deoxynivalenol biosynthesis	"RXN-17048, RXN-17046, RXN-17045, RXN-17047, RXN-17044, RXN-17043"
PWY-6568	dermatan sulfate biosynthesis (late stages)	"CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN, RXN-11561, RXN-7953, RXN-11555"
PWY-6576	dermatan sulfate degradation (metazoa)	RXN-14881
PWY-7646	dermatan sulfate degradation I (bacterial)	"RXN-12178, CHONDRO-4-SULFATASE-RXN, 4.2.2.19-RXN, RXN-11577"
PWY-7475	des-methyl avenacin A-1 biosynthesis	"RXN-11853, RXN-15390"
PWY-6376	desferrioxamine B biosynthesis	"RXN-11001, RXN-10999, RXN-10996, RXN-10995, LYSDECARBOX-RXN"
PWY-6375	desferrioxamine E biosynthesis	"RXN-10997, RXN-10996, RXN-10995, RXN-10998, LYSDECARBOX-RXN"
PWY-6786	detoxification of reactive carbonyls in chloroplasts	"RXN-12297, RXN-12292, RXN-12299, RXN-12300, RXN-12296, RXN-12281, ALLYL-ALCOHOL-DEHYDROGENASE-RXN, RXN-12293, RXN0-4281, RXN-12295"
PWY-861	dhurrin biosynthesis	"RXN-12240, RXN-18144, 1.14.13.42-RXN, RXN-7749, RXN-7748, TYROSINE-N-MONOOXYGENASE-RXN, RXN-743"
PWY-5976	dhurrin degradation	"HYDROXYMANDELONITRILE-LYASE-RXN, RXN-9588"
PWY-5785	"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"	"RXN-8999, UNDECAPRENYL-DIPHOSPHATASE-RXN"
PWY-6664	di-myo-inositol phosphate biosynthesis	"RXN-11877, RXN-11880, RXN-11879, MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN"
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	"RXN-12383, PHOSPHATIDATE-PHOSPHATASE-RXN, RXN-1381, RXN-1623, RXN-1641, DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN, RXN-12959"
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	"RXN-5781, RXN-12386"
PWY-6795	"diacylglyceryl-<i>N,N,N</i>-trimethylhomoserine biosynthesis"	"RXN-12347, RXN-12348"
P661-PWY	dibenzo-<I>p</I>-dioxin degradation	"R604-RXN, R605-RXN, R603-RXN, R602-RXN"
P662-PWY	dibenzofuran degradation	"R608-RXN, R607-RXN, R606-RXN"
PWY-681	dibenzothiophene desulfurization	"RXN-624, RXN-621, RXN-623, RXN-622"
PWY-6949	DIBOA-glucoside biosynthesis	"RXN0-2381, RXN-6683, RXN-6684, RXN-6681, RXN-6682, RXN-7021"
PWY-6603	dicranin biosynthesis	"RXN-8347, RXN-11681, RXN-11680, RXN-11682"
PWY-5491	diethylphosphate degradation	"RXN-8747, RXN-8748"
PWY-6302	dihydroconiferyl alcohol biosynthesis	"RXN-10709, RXN-10710"
PWY-4441	DIMBOA-glucoside activation	RXN-7082
PWY-6950	DIMBOA-glucoside biosynthesis	"RXN-6685, RXN-6687"
PWY-7793	dimethyl sulfide biosynthesis from methionine	"RXN-17813, METHIONINE-GAMMA-LYASE-RXN"
PWY-6047	dimethyl sulfide degradation I	"RXN-9740, METHANETHIOL-OXIDASE-RXN"
PWY-6059	dimethyl sulfide degradation II (oxidation)	"RXN-9766, RXN-14709, RXN-9767, RXN-14710, RXN-18086"
PWY-6057	dimethyl sulfide degradation III (oxidation)	RXN-9763
PWY-6058	dimethyl sulfone degradation	RXN-9762
PWY-6050	dimethyl sulfoxide degradation	RXN-9739
PWY-6054	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	"RXN-9758, METHIONINE-S-METHYLTRANSFERASE-RXN, RXN-9759"
PWY-6055	dimethylsulfoniopropanoate biosynthesis II (Spartina)	"RXN-9758, RXN-9757, METHIONINE-S-METHYLTRANSFERASE-RXN, RXN-9756"
PWY-6053	dimethylsulfoniopropanoate biosynthesis III (algae)	"RXN-9754, RXN-9753, RXN-9755, R15-RXN"
PWY-6046	dimethylsulfoniopropanoate degradation I (cleavage)	DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN
PWY-6056	dimethylsulfoniopropanoate degradation II (cleavage)	"RXN-9760, RXN-9761"
PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation)	RXN-9736
PWY-5368	dimorphecolate biosynthesis	"RXN-8393, RXN-8392, RXN-9670"
PWY-7744	dimycocerosyl phthiocerol biosynthesis	"RXN-18052, RXN-17251, RXN-17273, RXN-17271"
PWY-7743	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis	"RXN-17249, RXN-18052, RXN-17251, RXN-17273, RXN-17258, RXN-17282, RXN-17281, RXN-17277, RXN-17280, RXN-17279, RXN-17278"
PWY-7747	diphenyl ethers degradation	"RXN-17340, RXN-17338, RXN-17339, RXN-17343"
PWY-6532	diphenylamine degradation	RXN-11506
PWY-6482	diphthamide biosynthesis (archaea)	"RXN-14326, DIPHTINE--AMMONIA-LIGASE-RXN, RXN-11371"
PWY-7546	diphthamide biosynthesis (eukaryotes)	"RXN-15775, RXN-15776, DIPHTINE--AMMONIA-LIGASE-RXN, RXN-11371"
PWY-6820	diphyllin biosynthesis	RXN-12441
PWY-6098	diploterol and cycloartenol biosynthesis	"CYCLOARTENOL-SYNTHASE-RXN, 5.4.99.17-RXN, SQUALENE-MONOOXYGENASE-RXN, RXN-4961"
PWY-2981	diterpene phytoalexins precursors biosynthesis	"RXN-4881, RXN-7788, RXN-4884, RXN-4883, RXN-9291, RXN-4882, RXN-15440, RXN-15439, RXN-15437, RXN-15438, 5.5.1.13-RXN, RXN-8528"
PWY-5406	divinyl ether biosynthesis I	"RXN-8497, RXN-8496, RXN-8498, RXN-8495"
PWY-5409	divinyl ether biosynthesis II	"RXN-8504, LIPOXYGENASE-RXN"
PWY-7053	docosahexaenoate biosynthesis I (lower eukaryotes)	"RXN-13445, RXN-13444, RXN-13443, RXN-12797, RXN-17688, RXN-16102, RXN-13442"
PWY-7585	docosahexaenoate biosynthesis II (bacteria)	RXN-16017
PWY-7606	"docosahexaenoate biosynthesis III (6-desaturase, mammals)"	"RXN-13445, RXN-16130, RXN-16129, RXN-16135, RXN-16136, RXN-13444, RXN-16134, RXN-16132, RXN-16131, RXN-13443, RXN-16103, RXN-16137, RXN-16082, RXN-13442"
PWY-7727	"docosahexaenoate biosynthesis IV (4-desaturase, mammals)"	"RXN-13445, RXN-13444, RXN-13443, RXN-16103, RXN-17119, RXN-13442"
PWY-5817	dodecaprenyl diphosphate biosynthesis	RXN-9139
PWY-6129	dolichol and dolichyl phosphate biosynthesis	"RXN-9969, RXN-9970, DOLICHOL-KINASE-RXN, RXN-9971"
PWY6666-2	dopamine degradation	"RXN6666-5, RXN6666-6, RXN6666-7, RXN6666-9, RXN6666-4"
PWY-7355	doxorubicin biosynthesis	RXN-14855
PWY-7442	drosopterin and aurodrosopterin biosynthesis	"1.5.4.1-RXN, RXN-15260, RXN-15263, 4.2.3.12-RXN, RXN-15262, RXN-15261, GTP-CYCLOHYDRO-I-RXN"
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis	"DTDPGLUCOSEPP-RXN, RXN-12772, DTDPGLUCDEHYDRAT-RXN, RXN-12810, RXN-12840"
